Time,Object Name,Status,Value,Units,Alert ID,Priority
04.02.2019 14:50:24,TIC Turbo Speed,,1.7,,0,0
04.02.2019 14:50:24,TIC Turbo Power,,7.3,,0,0
04.02.2019 14:50:24,TIC Gauge 1,11,1.0000e+05,59,0,0
04.02.2019 14:50:24,TIC Gauge 2,5,9.9000e+09,59,0,0
04.02.2019 14:50:24,TIC Gauge 3,5,9.9000e+09,59,0,0
04.02.2019 14:50:26,TIC Gauge 1,11,1.0000e+05,59,0,0
04.02.2019 14:50:26,TIC Turbo Speed,,1.6,,0,0
04.02.2019 14:50:26,TIC Turbo Power,,7.5,,0,0
04.02.2019 14:50:26,TIC Gauge 2,5,9.9000e+09,59,0,0
04.02.2019 14:50:26,TIC Gauge 3,5,9.9000e+09,59,0,0
04.02.2019 14:50:28,TIC Turbo Speed,,1.6,,0,0
04.02.2019 14:50:28,TIC Turbo Power,,7.0,,0,0
04.02.2019 14:50:28,TIC Gauge 1,11,1.0000e+05,59,0,0
04.02.2019 14:50:28,TIC Gauge 2,5,9.9000e+09,59,0,0
04.02.2019 14:50:28,TIC Gauge 3,5,9.9000e+09,59,0,0
04.02.2019 14:50:30,TIC Turbo Speed,,2.5,,0,0
04.02.2019 14:50:30,TIC Turbo Power,,7.5,,0,0
04.02.2019 14:50:30,TIC Gauge 1,11,1.0000e+05,59,0,0
04.02.2019 14:50:30,TIC Gauge 2,5,9.9000e+09,59,0,0
04.02.2019 14:50:30,TIC Gauge 3,5,9.9000e+09,59,0,0
04.02.2019 14:50:32,TIC Turbo Speed,,2.4,,0,0
04.02.2019 14:50:32,TIC Turbo Power,,6.1,,0,0
04.02.2019 14:50:32,TIC Gauge 1,11,1.0000e+05,59,0,0
04.02.2019 14:50:32,TIC Gauge 2,5,9.9000e+09,59,0,0
04.02.2019 14:50:32,TIC Gauge 3,5,9.9000e+09,59,0,0
04.02.2019 14:50:34,TIC Gauge 2,5,9.9000e+09,59,0,0
04.02.2019 14:50:34,TIC Turbo Speed,,1.6,,0,0
04.02.2019 14:50:34,TIC Turbo Power,,6.1,,0,0
04.02.2019 14:50:34,TIC Gauge 3,5,9.9000e+09,59,0,0
04.02.2019 14:50:34,TIC Gauge 1,11,1.0000e+05,59,0,0
04.02.2019 14:50:36,TIC Turbo Speed,,2.9,,0,0
04.02.2019 14:50:36,TIC Turbo Power,,6.1,,0,0
04.02.2019 14:50:36,TIC Gauge 1,11,1.0000e+05,59,0,0
04.02.2019 14:50:36,TIC Gauge 2,5,9.9000e+09,59,0,0
