Время	Канал A	A * B
(mс)	(В)	(?)

-2.49683810	1.03775100	0.33555990
-2.49619810	1.05581800	0.29327000
-2.49555810	1.03775100	0.25187940
-2.49491810	1.05581800	0.20183690
-2.49427810	1.03775100	0.15613620
-2.49363810	1.03775100	0.11235810
-2.49299810	1.05581800	0.06473476
-2.49235810	1.03775100	0.00994458
-2.49171810	1.03775100	-0.04490895
-2.49107810	1.03775100	-0.09060967
-2.49043810	1.03775100	-0.13631040
-2.48979810	1.03775100	-0.19116390
-2.48915810	1.03775100	-0.23686460
-2.48851810	1.03775100	-0.27341250
-2.48787810	1.03775100	-0.31911330
-2.48723810	1.03775100	-0.35569280
-2.48659810	1.03775100	-0.39224070
-2.48595810	1.03775100	-0.41966750
-2.48531810	1.03775100	-0.44709420
-2.48467810	1.03775100	-0.46536820
-2.48403810	1.03775100	-0.48364210
-2.48339810	1.03775100	-0.50191610
-2.48275810	1.03775100	-0.50191610
-2.48211810	1.03775100	-0.51106890
-2.48147810	1.03775100	-0.50191610
-2.48083810	1.03775100	-0.49279500
-2.48019810	1.03775100	-0.48364210
-2.47955810	1.03775100	-0.46536820
-2.47891810	1.03775100	-0.43794140
-2.47827810	1.03775100	-0.41966750
-2.47763810	1.03775100	-0.38311960
-2.47699810	1.03775100	-0.34654000
-2.47635810	1.03775100	-0.30999210
-2.47571810	1.03775100	-0.27341250
-2.47507810	1.03775100	-0.22771180
-2.47443810	1.03775100	-0.18201110
-2.47379810	1.03775100	-0.12715760
-2.47315810	1.03775100	-0.08145685
-2.47251810	1.03775100	-0.02663500
-2.47187810	1.03775100	0.01906572
-2.47123810	1.03775100	0.07388758
-2.47059810	1.03775100	0.11958830
-2.46995810	1.03775100	0.16528900
-2.46931810	1.03775100	0.21098970
-2.46867810	1.03775100	0.26584320
-2.46803810	1.03775100	0.30239110
-2.46739810	1.03775100	0.33897070
-2.46675810	1.03775100	0.37551860
-2.46611810	1.03775100	0.40294540
-2.46547810	1.03775100	0.43037210
-2.46483810	1.03775100	0.45779890
-2.46419810	1.03775100	0.46692000
-2.46355810	1.03775100	0.48519400
-2.46291810	1.03775100	0.49434680
-2.46227810	1.03775100	0.49434680
-2.46163810	1.03775100	0.49434680
-2.46099810	1.03775100	0.49434680
-2.46035810	1.03775100	0.48519400
-2.45971810	1.03775100	0.46692000
-2.45907810	1.03775100	0.44864610
-2.45843810	1.03775100	0.40491680
-2.45779810	1.01974500	0.38467140
-2.45715810	1.03775100	0.34205210
-2.45651810	1.01974500	0.31154390
-2.45587810	1.03775100	0.26584320
-2.45523810	1.03775100	0.22528570
-2.45459810	1.01974500	0.18356290
-2.45395810	1.03775100	0.13786220
-2.45331810	1.03775100	0.08159956
-2.45267810	1.01974500	0.03733967
-2.45203810	1.03775100	-0.01748219
-2.45139810	1.03775100	-0.06318291
-2.45075810	1.03775100	-0.11598840
-2.45011810	1.01974500	-0.16089620
-2.44947810	1.01974500	-0.20580390
-2.44883810	1.01974500	-0.25071170
-2.44819810	1.01974500	-0.29561950
-2.44755810	1.01974500	-0.33153320
-2.44691810	1.01974500	-0.36747810
-2.44627810	1.01974500	-0.40339180
-2.44563810	1.01974500	-0.43034270
-2.44499810	1.01974500	-0.44829960
-2.44435810	1.01974500	-0.47525050
-2.44371810	1.01974500	-0.48424450
-2.44307810	1.01974500	-0.49320740
-2.44243810	1.01974500	-0.50220140
-2.44179810	1.01974500	-0.50220140
-2.44115810	1.01974500	-0.49320740
-2.44051810	1.01974500	-0.47525050
-2.43987810	1.01974500	-0.46628760
-2.43923810	1.01974500	-0.43933670
-2.43859810	1.01974500	-0.42137980
-2.43795810	1.01974500	-0.39442900
-2.43731810	1.01974500	-0.35848410
-2.43667810	1.01974500	-0.32257030
-2.43603810	1.01974500	-0.28662540
-2.43539810	1.01974500	-0.24171770
-2.43475810	1.01974500	-0.19680990
-2.43411810	1.01974500	-0.14921090
-2.43347810	1.00167800	-0.10699440
-2.43283810	1.01974500	-0.05312374
-2.43219810	1.01974500	0.00077803
-2.43155810	1.01974500	0.04565467
-2.43091810	1.01974500	0.08895793
-2.43027810	1.00167800	0.14446420
-2.42963810	1.01974500	0.18937200
-2.42899810	1.01974500	0.23427970
-2.42835810	1.01974500	0.27918750
-2.42771810	1.01974500	0.31510120
-2.42707810	1.01974500	0.35104610
-2.42643810	1.01974500	0.38695990
-2.42579810	1.01974500	0.40491680
-2.42515810	1.01974500	0.43186770
-2.42451810	1.01974500	0.45881860
-2.42387810	1.01974500	0.46832830
-2.42323810	1.00167800	0.47677540
-2.42259810	1.01974500	0.47716300
-2.42195810	1.00167800	0.48599760
-2.42131810	1.00167800	0.47716300
-2.42067810	1.00167800	0.47677540
-2.42003810	1.01974500	0.46781260
-2.41939810	1.01974500	0.43305090
-2.41875810	1.00167800	0.41541210
-2.41811810	1.00167800	0.38893870
-2.41747810	1.00167800	0.35363070
-2.41683810	1.00167800	0.31835320
-2.41619810	1.00167800	0.28307570
-2.41555810	1.00167800	0.24776770
-2.41491810	1.00167800	0.19482090
-2.41427810	1.00167800	0.15070880
-2.41363810	1.00167800	0.10659670
-2.41299810	1.00167800	0.05368045
-2.41235810	1.00167800	0.00959890
-2.41171810	1.00167800	-0.04334788
-2.41107810	1.00167800	-0.08746001
-2.41043810	1.00167800	-0.13157210
-2.40979810	1.00167800	-0.18451890
-2.40915810	1.00167800	-0.21979640
-2.40851810	1.00167800	-0.26390850
-2.40787810	1.00167800	-0.30802070
-2.40723810	1.00167800	-0.34332870
-2.40659810	1.00167800	-0.37860610
-2.40595810	1.00167800	-0.40507950
-2.40531810	1.00167800	-0.43155290
-2.40467810	1.00167800	-0.45802630
-2.40403810	1.00167800	-0.46683040
-2.40339810	1.00167800	-0.47566510
-2.40275810	1.00167800	-0.48446910
-2.40211810	1.00167800	-0.48446910
-2.40147810	1.00167800	-0.48446910
-2.40083810	1.00167800	-0.47566510
-2.40019810	1.00167800	-0.46683040
-2.39955810	1.00167800	-0.44111710
-2.39891810	0.98367260	-0.42271830
-2.39827810	1.00167800	-0.39624490
-2.39763810	1.00167800	-0.36980210
-2.39699810	1.00167800	-0.33449400
-2.39635810	1.00167800	-0.29383790
-2.39571810	0.98367260	-0.25051880
-2.39507810	0.98367260	-0.21979640
-2.39443810	1.00167800	-0.17568430
-2.39379810	1.00167800	-0.12273750
-2.39315810	1.00167800	-0.07721201
-2.39251810	0.98367260	-0.02570915
-2.39187810	1.00167800	0.01807217
-2.39123810	0.98367260	0.07003718
-2.39059810	0.98367260	0.11335640
-2.38995810	0.98367260	0.16535140
-2.38931810	0.98367260	0.20867060
-2.38867810	0.98367260	0.25198970
-2.38803810	0.98367260	0.28663310
-2.38739810	0.98367260	0.32130640
-2.38675810	0.98367260	0.36246540
-2.38611810	1.00167800	0.38194730
-2.38547810	0.98367260	0.40794480
-2.38483810	0.98367260	0.43394230
-2.38419810	0.98367260	0.45126400
-2.38355810	0.98367260	0.45990980
-2.38291810	0.98367260	0.46858560
-2.38227810	0.98367260	0.47726150
-2.38163810	0.98367260	0.47726150
-2.38099810	0.98367260	0.45990980
-2.38035810	0.98367260	0.45126400
-2.37971810	0.98367260	0.43394230
-2.37907810	0.98367260	0.41659060
-2.37843810	0.98367260	0.38341920
-2.37779810	0.96560560	0.36462560
-2.37715810	0.98367260	0.32995220
-2.37651810	0.98367260	0.29530890
-2.37587810	0.98367260	0.26063560
-2.37523810	0.98367260	0.21731640
-2.37459810	0.98367260	0.17399720
-2.37395810	0.98367260	0.13067800
-2.37331810	0.98367260	0.07871302
-2.37267810	0.98367260	0.03539384
-2.37203810	0.98367260	-0.00792534
-2.37139810	0.98367260	-0.05989034
-2.37075810	0.98367260	-0.11188540
-2.37011810	0.98367260	-0.15235390
-2.36947810	0.96560560	-0.19852370
-2.36883810	0.98367260	-0.24184290
-2.36819810	0.98367260	-0.28516210
-2.36755810	0.98367260	-0.31980540
-2.36691810	0.98367260	-0.34796810
-2.36627810	0.96560560	-0.38197510
-2.36563810	0.96560560	-0.39900820
-2.36499810	0.96560560	-0.42449870
-2.36435810	0.96560560	-0.45001870
-2.36371810	0.96560560	-0.45853520
-2.36307810	0.96560560	-0.46702220
-2.36243810	0.96560560	-0.47553870
-2.36179810	0.96560560	-0.47553870
-2.36115810	0.96560560	-0.46702220
-2.36051810	0.96560560	-0.45853520
-2.35987810	0.96560560	-0.44153170
-2.35923810	0.96560560	-0.41601170
-2.35859810	0.96560560	-0.39900820
-2.35795810	0.96560560	-0.37348810
-2.35731810	0.96560560	-0.33945160
-2.35667810	0.96560560	-0.31393160
-2.35603810	0.96560560	-0.26292100
-2.35539810	0.96560560	-0.22888450
-2.35475810	0.96560560	-0.18636100
-2.35411810	0.96560560	-0.14383740
-2.35347810	0.96560560	-0.10131390
-2.35283810	0.96560560	-0.05030332
-2.35219810	0.96560560	-0.00777978
-2.35155810	0.96560560	0.04323079
-2.35091810	0.96560560	0.08575433
-2.35027810	0.96560560	0.13679440
-2.34963810	0.96560560	0.17931790
-2.34899810	0.96560560	0.22184150
-2.34835810	0.96560560	0.26436500
-2.34771810	0.96560560	0.29837200
-2.34707810	0.96560560	0.33240860
-2.34643810	0.96560560	0.36641560
-2.34579810	0.96560560	0.39193560
-2.34515810	0.96560560	0.41745560
-2.34451810	0.96560560	0.43445920
-2.34387810	0.96560560	0.44297570
-2.34323810	0.96560560	0.45146270
-2.34259810	0.96560560	0.45997920
-2.34195810	0.96560560	0.45997920
-2.34131810	0.96560560	0.45997920
-2.34067810	0.96560560	0.45146270
-2.34003810	0.96560560	0.44297570
-2.33939810	0.96560560	0.41745560
-2.33875810	0.96560560	0.40045210
-2.33811810	0.96560560	0.37493210
-2.33747810	0.96560560	0.34089560
-2.33683810	0.96560560	0.30688850
-2.33619810	0.96560560	0.27288150
-2.33555810	0.96560560	0.23035800
-2.33491810	0.96560560	0.19632140
-2.33427810	0.96560560	0.14528140
-2.33363810	0.96560560	0.10275790
-2.33299810	0.96560560	0.06023432
-2.33235810	0.96560560	0.00925322
-2.33171810	0.96560560	-0.04178682
-2.33107810	0.96560560	-0.08431037
-2.33043810	0.96560560	-0.12683390
-2.32979810	0.96560560	-0.17787390
-2.32915810	0.96560560	-0.22039750
-2.32851811	0.96560560	-0.25440450
-2.32787811	0.96560560	-0.29692810
-2.32723811	0.96560560	-0.33096460
-2.32659811	0.96560560	-0.36497160
-2.32595811	0.96560560	-0.39049170
-2.32531811	0.96560560	-0.41601170
-2.32467811	0.96560560	-0.43301520
-2.32403811	0.96560560	-0.45001870
-2.32339811	0.96560560	-0.46702220
-2.32275811	0.96560560	-0.46702220
-2.32211811	0.96560560	-0.46702220
-2.32147811	0.96560560	-0.46702220
-2.32083811	0.96560560	-0.45853520
-2.32019811	0.96560560	-0.45001870
-2.31955811	0.96560560	-0.43301520
-2.31891811	0.96560560	-0.40749520
-2.31827811	0.96560560	-0.38197510
-2.31763811	0.96560560	-0.35648460
-2.31699811	0.96560560	-0.32244810
-2.31635811	0.96560560	-0.28306240
-2.31571811	0.94759970	-0.24133180
-2.31507811	0.94759970	-0.21188100
-2.31443811	0.96560560	-0.16619940
-2.31379811	0.94759970	-0.11611110
-2.31315811	0.94759970	-0.07579387
-2.31251811	0.96560560	-0.02478330
-2.31187811	0.96560560	0.01740944
-2.31123811	0.94759970	0.06875081
-2.31059811	0.96560560	0.10919940
-2.30995811	0.94759970	0.15928770
-2.30931811	0.94759970	0.20101830
-2.30867811	0.94759970	0.23884500
-2.30803811	0.96560560	0.27612180
-2.30739811	0.94759970	0.31540500
