Частота	A * B
(kГц)	(?)

0.00000000	0.59387190
0.02384186	0.24003710
0.04768372	0.02976350
0.07152557	0.10237660
0.09536743	0.12438060
0.11920929	0.09264056
0.14305115	0.05615278
0.16689301	0.06153511
0.19073486	0.07373565
0.21457672	0.08280779
0.23841858	0.05344423
0.26226044	0.01774749
0.28610229	0.05430949
0.30994415	0.09496830
0.33378601	0.08950398
0.35762787	0.08619918
0.38146973	0.09332333
0.40531158	0.11404120
0.42915344	0.13669170
0.45299530	0.13539510
0.47683716	0.11340060
0.50067902	0.12445960
0.52452087	0.15609890
0.54836273	0.13534940
0.57220459	0.09499073
0.59604645	0.10810810
0.61988831	0.12718180
0.64373016	0.09617111
0.66757202	0.03985600
0.69141388	0.11197760
0.71525574	0.33339210
0.73909760	0.28709150
0.76293945	0.03053879
0.78678131	0.55710860
0.81062317	0.94606530
0.83446503	0.56800940
0.85830688	0.11743010
0.88214874	0.14925540
0.90599060	0.18538370
0.92983246	0.03341438
0.95367432	0.03481772
0.97751617	0.08259572
1.00135803	0.09511262
1.02519989	0.09444989
1.04904175	0.10468960
1.07288361	0.14972960
1.09672546	0.15746310
1.12056732	0.13483800
1.14440918	0.14929210
1.16825104	0.18728910
1.19209290	0.16857500
1.21593475	0.13272610
1.23977661	0.14990950
1.26361847	0.16214200
1.28746033	0.12229170
1.31130219	0.09908045
1.33514404	0.09146668
1.35898590	0.10406090
1.38282776	0.04337716
1.40666962	0.01795412
1.43051147	0.13663890
1.45435333	0.20161620
1.47819519	0.09523273
1.50203705	0.36363830
1.52587891	0.97824710
1.54972076	0.88865350
1.57356262	0.24851140
1.59740448	0.17656140
1.62124634	0.35212550
1.64508820	0.20835430
1.66893005	0.04132611
1.69277191	0.06766640
1.71661377	0.12487810
1.74045563	0.11947630
1.76429749	0.09537011
1.78813934	0.11798960
1.81198120	0.15746910
1.83582306	0.14188860
1.85966492	0.11439930
1.88350677	0.12911510
1.90734863	0.14575700
1.93119049	0.12410990
1.95503235	0.10512790
1.97887421	0.08929411
2.00271606	0.09107177
2.02655792	0.09466946
2.05039978	0.07603031
2.07424164	0.02086044
2.09808350	0.02966127
2.12192535	0.07482107
2.14576721	0.07245750
2.16960907	0.07114563
2.19345093	0.04904378
2.21729279	0.07559093
2.24113464	0.12106790
2.26497650	0.13434570
2.28881836	0.06913579
2.31266022	0.12304210
2.33650208	0.38178240
2.36034393	0.35045750
2.38418579	0.08722709
2.40802765	0.06809557
2.43186951	0.10979880
2.45571136	0.10508480
2.47955322	0.07329637
2.50339508	0.05140956
2.52723694	0.07252129
2.55107880	0.08403786
2.57492065	0.07504028
2.59876251	0.03006225
2.62260437	0.03548757
2.64644623	0.08599715
2.67028809	0.09331735
2.69412994	0.08485842
2.71797180	0.08236400
2.74181366	0.10485400
2.76565552	0.12452430
2.78949738	0.13746850
2.81333923	0.11658680
2.83718109	0.11203410
2.86102295	0.14419560
2.88486481	0.14817190
2.90870667	0.10548230
2.93254852	0.09609487
2.95639038	0.12209900
2.98023224	0.11526130
3.00407410	0.05356243
3.02791595	0.05137884
3.05175781	0.25571670
3.07559967	0.35532550
3.09944153	0.13773080
3.12328339	0.27384760
3.14712524	0.77115980
