Частота	A * B
(kГц)	(?)

0.00000000	2.32379700
0.02384186	1.00428700
0.04768372	0.23064630
0.07152557	0.05737806
0.09536743	0.10470820
0.11920929	0.11838580
0.14305115	0.16237610
0.16689301	0.11741590
0.19073486	0.06098365
0.21457672	0.09427144
0.23841858	0.08511661
0.26226044	0.07553772
0.28610229	0.08125540
0.30994415	0.05962587
0.33378601	0.08485094
0.35762787	0.12442280
0.38146973	0.11879230
0.40531158	0.10308850
0.42915344	0.04389803
0.45299530	0.07694986
0.47683716	0.10235330
0.50067902	0.09652053
0.52452087	0.07568776
0.54836273	0.09266675
0.57220459	0.02386549
0.59604645	0.09996178
0.61988831	0.12384710
0.64373016	0.21290970
0.66757202	0.16913680
0.69141388	0.06427231
0.71525574	0.08685833
0.73909760	0.07957602
0.76293945	0.06721465
0.78678131	0.08086614
0.81062317	0.05951786
0.83446503	0.03912805
0.85830688	0.07966005
0.88214874	0.11978070
0.90599060	0.09990848
0.92983246	0.03828071
0.95367432	0.08799912
0.97751617	0.13667600
1.00135803	0.14177160
1.02519989	0.07078730
1.04904175	0.09785994
1.07288361	0.02662832
1.09672546	0.10036340
1.12056732	0.13522690
1.14440918	0.25241580
1.16825104	0.20602220
1.19209290	0.07542832
1.21593475	0.08881588
1.23977661	0.08357204
1.26361847	0.06508112
1.28746033	0.07947063
1.31130219	0.06714430
1.33514404	0.03173755
1.35898590	0.07369354
1.38282776	0.12779220
1.40666962	0.10602750
1.43051147	0.04476121
1.45435333	0.07529505
1.47819519	0.16132120
1.50203705	0.18847900
1.52587891	0.07095678
1.54972076	0.10575610
1.57356262	0.01698977
1.59740448	0.08961879
1.62124634	0.13987960
1.64508820	0.30069890
1.66893005	0.23869540
1.69277191	0.07971950
1.71661377	0.08489707
1.74045563	0.08275249
1.76429749	0.06617415
1.78813934	0.08511221
1.81198120	0.08657826
1.83582306	0.06019464
1.85966492	0.06493302
1.88350677	0.12623090
1.90734863	0.10562980
1.93119049	0.04468811
1.95503235	0.05968679
1.97887421	0.18130860
2.00271606	0.23391880
2.02655792	0.06378449
2.05039978	0.04797703
2.07424164	0.02582534
2.09808350	0.09368639
2.12192535	0.15884180
2.14576721	0.35862270
2.16960907	0.28556440
2.19345093	0.09541298
2.21729279	0.09890488
2.24113464	0.10106610
2.26497650	0.07658225
2.28881836	0.07752237
2.31266022	0.08396286
2.33650208	0.08324170
2.36034393	0.08457917
2.38418579	0.12625040
2.40802765	0.09822045
2.43186951	0.04069267
2.45571136	0.05497914
2.47955322	0.20800610
2.50339508	0.26712660
2.52723694	0.06633496
2.55107880	0.10819900
2.57492065	0.01142817
2.59876251	0.08055725
2.62260437	0.17572680
2.64644623	0.41026420
2.67028809	0.32092440
2.69412994	0.10700940
2.71797180	0.10534220
2.74181366	0.10879430
2.76565552	0.08862302
2.78949738	0.09279522
2.81333923	0.10644520
2.83718109	0.11381630
2.86102295	0.09793504
2.88486481	0.12656200
2.90870667	0.10129070
2.93254852	0.04067345
2.95639038	0.05466627
2.98023224	0.23460030
3.00407410	0.29804600
3.02791595	0.05835553
3.05175781	0.10227680
3.07559967	0.01854276
3.09944153	0.07610339
3.12328339	0.20525210
3.14712524	0.46693010
