Время	A * B
(mс)	(?)

-1.00017164	0.00174763
-0.99985164	0.00298141
-0.99953164	0.15070880
-0.99921164	0.18601680
-0.99889164	0.23012900
-0.99857164	0.27918750
-0.99825164	0.31835320
-0.99793164	0.36900300
-0.99761164	0.40491680
-0.99729164	0.44985570
-0.99697164	0.47716300
-0.99665164	0.52168320
-0.99633164	0.55655250
-0.99601164	0.58302600
-0.99569164	0.61833400
-0.99537164	0.66540050
-0.99505164	0.70134540
-0.99473164	0.72826520
-0.99441164	0.74183570
-0.99409164	0.78216690
-0.99377164	0.78594790
-0.99345164	0.82707460
-0.99313164	0.85402550
-0.99281164	0.85653340
-0.99249164	0.88097640
-0.99217164	0.89893330
-0.99185164	0.89184140
-0.99153164	0.91689010
-0.99121164	0.92588420
-0.99089164	0.93484710
-0.99057164	0.93484710
-0.99025164	0.94384110
-0.98993164	0.94384110
-0.98961164	0.93484710
-0.98929164	0.93484710
-0.98897164	0.93484710
-0.98865164	0.91689010
-0.98833164	0.89184140
-0.98801164	0.89893330
-0.98769164	0.87198250
-0.98737164	0.86301950
-0.98705164	0.84503160
-0.98673164	0.81811180
-0.98641164	0.79116090
-0.98609164	0.76421000
-0.98577164	0.74625310
-0.98545164	0.71030830
-0.98513164	0.68335740
-0.98481164	0.64744360
-0.98449164	0.61152980
-0.98417164	0.58457900
-0.98385164	0.53967120
-0.98353164	0.50372630
-0.98321164	0.46781260
-0.98289164	0.42290480
-0.98257164	0.38695990
-0.98225164	0.34205210
-0.98193164	0.29714440
-0.98161164	0.26123060
-0.98129164	0.21632280
-0.98097164	0.16837810
-0.98065164	0.12426600
-0.98033164	0.08015385
-0.98001164	0.03669179
-0.97969164	-0.00821597
-0.97937164	-0.05218254
-0.97905164	-0.09803151
-0.97873164	-0.13394530
-0.97841164	-0.18451890
-0.97809164	-0.22376080
-0.97777164	-0.26390850
-0.97745164	-0.30461340
-0.97713164	-0.34952120
-0.97681164	-0.37860610
-0.97649164	-0.42137980
-0.97617164	-0.45729360
-0.97585164	-0.48446910
-0.97553164	-0.52915230
-0.97521164	-0.56506600
-0.97489164	-0.59201690
-0.97457164	-0.60800150
-0.97425164	-0.64591870
-0.97393164	-0.67286960
-0.97361164	-0.69082650
-0.97329164	-0.71777730
-0.97297164	-0.74472820
-0.97265164	-0.76268510
-0.97233164	-0.77164790
-0.97201164	-0.78064200
-0.97169164	-0.78963600
-0.97137164	-0.80759280
-0.97105164	-0.81655570
-0.97073164	-0.81655570
-0.97041164	-0.81092330
-0.97009164	-0.81655570
-0.96977164	-0.80208870
-0.96945164	-0.81655570
-0.96913164	-0.80759280
-0.96881164	-0.79859880
-0.96849164	-0.78963600
-0.96817164	-0.76681120
-0.96785164	-0.76268510
-0.96753164	-0.74472820
-0.96721164	-0.72674020
-0.96689164	-0.69978930
-0.96657164	-0.68183240
-0.96625164	-0.65488150
-0.96593164	-0.62796180
-0.96561164	-0.60101090
-0.96529164	-0.57406000
-0.96497164	-0.54710920
-0.96465164	-0.51119540
-0.96433164	-0.48424450
-0.96401164	-0.43933670
-0.96369164	-0.39442900
-0.96337164	-0.36096740
-0.96305164	-0.32257030
-0.96273164	-0.28154720
-0.96241164	-0.24171770
-0.96209164	-0.20580390
-0.96177164	-0.16089620
-0.96145164	-0.11598840
-0.96113164	-0.07108063
-0.96081164	-0.02617286
-0.96049164	0.01873491
-0.96017164	0.06248454
-0.95985164	0.10851930
-0.95953164	0.15342710
-0.95921164	0.18937200
-0.95889164	0.24327370
-0.95857164	0.28818150
-0.95825164	0.32409520
-0.95793164	0.36900300
-0.95761164	0.40491680
-0.95729164	0.44985570
-0.95697164	0.48576950
-0.95665164	0.53067720
-0.95633164	0.55762810
-0.95601164	0.59186070
-0.95569164	0.62948670
-0.95537164	0.66540050
-0.95505164	0.69235140
-0.95473164	0.72826520
-0.95441164	0.75521600
-0.95409164	0.78216690
-0.95377164	0.80012380
-0.95345164	0.81242120
-0.95313164	0.85402550
-0.95281164	0.86301950
-0.95249164	0.88993930
