Частота	A * B
(kГц)	(?)

0.00000000	2.30838300
0.02384186	0.89246020
0.04768372	0.03179299
0.07152557	0.05602578
0.09536743	0.11802840
0.11920929	0.18606600
0.14305115	0.08890589
0.16689301	0.07911194
0.19073486	0.09014536
0.21457672	0.06732245
0.23841858	0.08258671
0.26226044	0.04045098
0.28610229	0.27212370
0.30994415	0.47746730
0.33378601	0.30159050
0.35762787	0.16120220
0.38146973	0.07665535
0.40531158	0.14253430
0.42915344	0.16878920
0.45299530	0.12156840
0.47683716	0.07206915
0.50067902	0.01152324
0.52452087	0.06200532
0.54836273	0.13470380
0.57220459	0.18098130
0.59604645	0.12133020
0.61988831	0.06172635
0.64373016	0.18681630
0.66757202	0.39709310
0.69141388	0.61442740
0.71525574	0.36059240
0.73909760	0.04121619
0.76293945	0.08244551
0.78678131	0.07294544
0.81062317	0.08243471
0.83446503	0.05789522
0.85830688	0.09499574
0.88214874	0.19319990
0.90599060	0.11991020
0.92983246	0.07570085
0.95367432	0.11945730
0.97751617	0.15459460
1.00135803	0.19933720
1.02519989	0.10515530
1.04904175	0.14536520
1.07288361	0.03425197
1.09672546	0.13864790
1.12056732	0.19660750
1.14440918	0.09604913
1.16825104	0.08690213
1.19209290	0.07051779
1.21593475	0.04189183
1.23977661	0.07374878
1.26361847	0.04809771
1.28746033	0.20059260
1.31130219	0.37038960
1.33514404	0.22223980
1.35898590	0.11382460
1.38282776	0.09682132
1.40666962	0.15623320
1.43051147	0.16269290
1.45435333	0.12342520
1.47819519	0.08724734
1.50203705	0.03084699
1.52587891	0.05288031
1.54972076	0.13479940
1.57356262	0.17305290
1.59740448	0.09058941
1.62124634	0.07017271
1.64508820	0.21410330
1.66893005	0.45955770
1.69277191	0.69763830
1.71661377	0.41573700
1.74045563	0.06589857
1.76429749	0.05688984
1.78813934	0.06966698
1.81198120	0.07378043
1.83582306	0.04308843
1.85966492	0.09624247
1.88350677	0.17777480
1.90734863	0.11140850
1.93119049	0.07031359
1.95503235	0.07596839
1.97887421	0.28282980
2.00271606	0.37743370
2.02655792	0.17425810
2.05039978	0.14357750
2.07424164	0.02792119
2.09808350	0.14854060
2.12192535	0.18728050
2.14576721	0.09905823
2.16960907	0.10281720
2.19345093	0.06704951
2.21729279	0.02293206
2.24113464	0.06481861
2.26497650	0.08038612
2.28881836	0.11614180
2.31266022	0.24179990
2.33650208	0.11703210
2.36034393	0.09204573
2.38418579	0.14439320
2.40802765	0.16561320
2.43186951	0.13495800
2.45571136	0.11757830
2.47955322	0.10426320
2.50339508	0.05323151
2.52723694	0.04750653
2.55107880	0.13711340
2.57492065	0.16386160
2.59876251	0.05745982
2.62260437	0.08439269
2.64644623	0.22590360
2.67028809	0.53198490
2.69412994	0.78681550
2.71797180	0.44619790
2.74181366	0.05571676
2.76565552	0.07553625
2.78949738	0.07999156
2.81333923	0.05659558
2.83718109	0.02287395
2.86102295	0.10622590
2.88486481	0.17435720
2.90870667	0.11744250
2.93254852	0.08719112
2.95639038	0.04975676
2.98023224	0.38142090
3.00407410	0.51339080
3.02791595	0.22389190
3.05175781	0.11863040
3.07559967	0.02510119
3.09944153	0.14447060
3.12328339	0.16862250
3.14712524	0.09150470
