Частота	Канал A
(kГц)	(В)

0.00000000	0.17120060
0.02384186	0.07232439
0.04768372	0.01217025
0.07152557	0.00067944
0.09536743	0.00067957
0.11920929	0.00058729
0.14305115	0.00064145
0.16689301	0.00080458
0.19073486	0.00049070
0.21457672	0.00023730
0.23841858	0.00054916
0.26226044	0.00077170
0.28610229	0.00146776
0.30994415	0.00185542
0.33378601	0.00137498
0.35762787	0.00127773
0.38146973	0.00112820
0.40531158	0.00109691
0.42915344	0.00045298
0.45299530	0.00036677
0.47683716	0.00042549
0.50067902	0.00037301
0.52452087	0.00064343
0.54836273	0.00049034
0.57220459	0.00039747
0.59604645	0.00093425
0.61988831	0.00094955
0.64373016	0.00194982
0.66757202	0.00191145
0.69141388	0.00145750
0.71525574	0.00113206
0.73909760	0.00104310
0.76293945	0.00068923
0.78678131	0.00023479
0.81062317	0.00055844
0.83446503	0.00067573
0.85830688	0.00036484
0.88214874	0.00029738
0.90599060	0.00039994
0.92983246	0.00097786
0.95367432	0.00988320
0.97751617	0.05308270
1.00135803	0.08373374
1.02519989	0.04713484
1.04904175	0.00728289
1.07288361	0.00059266
1.09672546	0.00053539
1.12056732	0.00035800
1.14440918	0.00039348
1.16825104	0.00072399
1.19209290	0.00049989
1.21593475	0.00035452
1.23977661	0.00063202
1.26361847	0.00083807
1.28746033	0.00143998
1.31130219	0.00173214
1.33514404	0.00091528
1.35898590	0.00071295
1.38282776	0.00091073
1.40666962	0.00078234
1.43051147	0.00037002
1.45435333	0.00046917
1.47819519	0.00045117
1.50203705	0.00040370
1.52587891	0.00048781
1.54972076	0.00029775
1.57356262	0.00039256
1.59740448	0.00099317
1.62124634	0.00137455
1.64508820	0.00285251
1.66893005	0.00236848
1.69277191	0.00086176
1.71661377	0.00073945
1.74045563	0.00106049
1.76429749	0.00056477
1.78813934	0.00032453
1.81198120	0.00057183
1.83582306	0.00049297
1.85966492	0.00047980
1.88350677	0.00043327
1.90734863	0.00035400
1.93119049	0.00088914
1.95503235	0.01121917
1.97887421	0.05498074
2.00271606	0.08175462
2.02655792	0.04345912
2.05039978	0.00635516
2.07424164	0.00083009
2.09808350	0.00040575
2.12192535	0.00008115
2.14576721	0.00021861
2.16960907	0.00054083
2.19345093	0.00039822
2.21729279	0.00043999
2.24113464	0.00048147
2.26497650	0.00061320
2.28881836	0.00167542
2.31266022	0.00206950
2.33650208	0.00090340
2.36034393	0.00048696
2.38418579	0.00110161
2.40802765	0.00087068
2.43186951	0.00061087
2.45571136	0.00041195
2.47955322	0.00036629
2.50339508	0.00035390
2.52723694	0.00062208
2.55107880	0.00027487
2.57492065	0.00041367
2.59876251	0.00097390
2.62260437	0.00148298
2.64644623	0.00330844
2.67028809	0.00265970
2.69412994	0.00078752
2.71797180	0.00072950
2.74181366	0.00089871
2.76565552	0.00042122
2.78949738	0.00055888
2.81333923	0.00069612
2.83718109	0.00055259
2.86102295	0.00037529
2.88486481	0.00034512
2.90870667	0.00017687
2.93254852	0.00084393
2.95639038	0.01219617
2.98023224	0.05606119
3.00407410	0.07889352
3.02791595	0.03953418
3.05175781	0.00530438
3.07559967	0.00083198
3.09944153	0.00044416
3.12328339	0.00011950
3.14712524	0.00035039
3.17096710	0.00064791
3.19480896	0.00039944
3.21865082	0.00043075
3.24249268	0.00060545
3.26633453	0.00085859
3.29017639	0.00208240
3.31401825	0.00241826
3.33786011	0.00130560
3.36170197	0.00093545
3.38554382	0.00109804
3.40938568	0.00075265
3.43322754	0.00074457
3.45706940	0.00054215
3.48091125	0.00021560
3.50475311	0.00026664
3.52859497	0.00041932
3.55243683	0.00035979
3.57627869	0.00059870
3.60012054	0.00089906
3.62396240	0.00214005
3.64780426	0.00420758
3.67164612	0.00303138
3.69548798	0.00046728
3.71932983	0.00083160
3.74317169	0.00106162
3.76701355	0.00046577
3.79085541	0.00038069
3.81469727	0.00044696
3.83853912	0.00048768
3.86238098	0.00063014
3.88622284	0.00043147
3.91006470	0.00030365
3.93390656	0.00093768
3.95774841	0.01314822
3.98159027	0.05616485
4.00543213	0.07464177
4.02927399	0.03505580
4.05311584	0.00410631
4.07695770	0.00071220
4.10079956	0.00050294
4.12464142	0.00011806
4.14848328	0.00016806
4.17232513	0.00044841
4.19616699	0.00034017
4.22000885	0.00067188
4.24385071	0.00048525
4.26769257	0.00066731
4.29153442	0.00197186
4.31537628	0.00223724
4.33921814	0.00191163
4.36306000	0.00170626
4.38690186	0.00122878
4.41074371	0.00077303
4.43458557	0.00043490
4.45842743	0.00036632
4.48226929	0.00035928
4.50611115	0.00062187
4.52995300	0.00064893
4.55379486	0.00055790
4.57763672	0.00057259
4.60147858	0.00068024
4.62532043	0.00228772
4.64916229	0.00467853
4.67300415	0.00333471
4.69684601	0.00062282
4.72068787	0.00067436
4.74452972	0.00085040
4.76837158	0.00044249
4.79221344	0.00046786
4.81605530	0.00046595
4.83989716	0.00038500
4.86373901	0.00070793
4.88758087	0.00071245
4.91142273	0.00050790
4.93526459	0.00097176
4.95910645	0.01409922
4.98294830	0.05547450
5.00679016	0.06954189
5.03063202	0.03054370
5.05447388	0.00306940
5.07831573	0.00072767
5.10215759	0.00063055
5.12599945	0.00040103
5.14984131	0.00045359
5.17368317	0.00067578
5.19752502	0.00056957
5.22136688	0.00058075
5.24520874	0.00046467
5.26905060	0.00075437
5.29289246	0.00200049
5.31673431	0.00240514
5.34057617	0.00241692
5.36441803	0.00198092
5.38825989	0.00116847
5.41210175	0.00077320
5.43594360	0.00093385
5.45978546	0.00051968
5.48362732	0.00033161
5.50746918	0.00060790
5.53131104	0.00048230
5.55515289	0.00049550
5.57899475	0.00053967
5.60283661	0.00071904
5.62667847	0.00283713
5.65052032	0.00500186
5.67436218	0.00338617
5.69820404	0.00092647
5.72204590	0.00073065
5.74588776	0.00088494
5.76972961	0.00065803
5.79357147	0.00055608
5.81741333	0.00047225
5.84125519	0.00046418
5.86509705	0.00073649
5.88893890	0.00069211
5.91278076	0.00064671
5.93662262	0.00099108
5.96046448	0.01465105
5.98430634	0.05375231
6.00814819	0.06382670
6.03199005	0.02630449
6.05583191	0.00229445
6.07967377	0.00061860
6.10351563	0.00066083
6.12735748	0.00074683
6.15119934	0.00061930
6.17504120	0.00040615
6.19888306	0.00028508
6.22272491	0.00040677
6.24656677	0.00014446
6.27040863	0.00060050
6.29425049	0.00182883
6.31809235	0.00231439
6.34193420	0.00299847
6.36577606	0.00226071
6.38961792	0.00078905
6.41345978	0.00054819
6.43730164	0.00084238
6.46114349	0.00054506
6.48498535	0.00026456
6.50882721	0.00041940
6.53266907	0.00045169
6.55651093	0.00051899
6.58035278	0.00044015
6.60419464	0.00052871
6.62803650	0.00294746
6.65187836	0.00513651
6.67572021	0.00328146
6.69956207	0.00088674
6.72340393	0.00080157
6.74724579	0.00075158
6.77108765	0.00064179
6.79492950	0.00073534
6.81877136	0.00051918
6.84261322	0.00033690
6.86645508	0.00052820
6.89029694	0.00032911
6.91413879	0.00041789
6.93798065	0.00062079
6.96182251	0.01479946
6.98566437	0.05093461
7.00950623	0.05708609
7.03334808	0.02193228
7.05718994	0.00184331
7.08103180	0.00087045
7.10487366	0.00045420
7.12871552	0.00039333
7.15255737	0.00049599
7.17639923	0.00034509
7.20024109	0.00048575
7.22408295	0.00065697
7.24792480	0.00035931
7.27176666	0.00063269
7.29560852	0.00167948
7.31945038	0.00263477
7.34329224	0.00374059
7.36713409	0.00255302
7.39097595	0.00063794
7.41481781	0.00030379
7.43865967	0.00076716
7.46250153	0.00049059
7.48634338	0.00029789
7.51018524	0.00051179
7.53402710	0.00068212
7.55786896	0.00073654
7.58171082	0.00049098
7.60555267	0.00056532
7.62939453	0.00293360
7.65323639	0.00476583
7.67707825	0.00302584
7.70092010	0.00143691
7.72476196	0.00079123
7.74860382	0.00052900
7.77244568	0.00073450
7.79628754	0.00061051
7.82012939	0.00030865
7.84397125	0.00040273
7.86781311	0.00071721
7.89165497	0.00071762
7.91549683	0.00069212
7.93933868	0.00080750
7.96318054	0.01506373
7.98702240	0.04768722
8.01086426	0.05040254
8.03470612	0.01807376
8.05854797	0.00135638
8.08238983	0.00060450
8.10623169	0.00025763
8.13007355	0.00051122
8.15391541	0.00042283
8.17775726	0.00033413
8.20159912	0.00081739
8.22544098	0.00078528
8.24928284	0.00037073
8.27312469	0.00070718
8.29696655	0.00165342
8.32080841	0.00267646
8.34465027	0.00398625
8.36849213	0.00278305
8.39233398	0.00080478
8.41617584	0.00060721
8.44001770	0.00081814
8.46385956	0.00062481
8.48770142	0.00058198
8.51154327	0.00050910
8.53538513	0.00052924
8.55922699	0.00082381
8.58306885	0.00066323
8.60691071	0.00076290
8.63075256	0.00281945
8.65459442	0.00434349
8.67843628	0.00293846
8.70227814	0.00186392
8.72612000	0.00092871
8.74996185	0.00030685
8.77380371	0.00060454
8.79764557	0.00067049
8.82148743	0.00039577
8.84532928	0.00041995
8.86917114	0.00039330
8.89301300	0.00039110
8.91685486	0.00050311
8.94069672	0.00072169
8.96453857	0.01458951
8.98838043	0.04336413
9.01222229	0.04332566
9.03606415	0.01436146
9.05990601	0.00097339
9.08374786	0.00053549
9.10758972	0.00047128
9.13143158	0.00068542
9.15527344	0.00042440
9.17911530	0.00025617
9.20295715	0.00060309
9.22679901	0.00054038
9.25064087	0.00055803
9.27448273	0.00078044
9.29832458	0.00130115
9.32216644	0.00260597
9.34600830	0.00419769
9.36985016	0.00287766
9.39369202	0.00102600
9.41753387	0.00099444
9.44137573	0.00090452
9.46521759	0.00047232
9.48905945	0.00043400
9.51290131	0.00025405
9.53674316	0.00040772
9.56058502	0.00072861
9.58442688	0.00041656
9.60826874	0.00075153
9.63211060	0.00268913
9.65595245	0.00400861
9.67979431	0.00277643
9.70363617	0.00183854
9.72747803	0.00087313
9.75131989	0.00037902
9.77516174	0.00060919
9.79900360	0.00058384
9.82284546	0.00055270
9.84668732	0.00065539
9.87052917	0.00073809
9.89437103	0.00072493
9.91821289	0.00062083
9.94205475	0.00075562
9.96589661	0.01382900
9.98973846	0.03826598
10.01358032	0.03602420
10.03742218	0.01095172
10.06126404	0.00077496
10.08510590	0.00040705
10.10894775	0.00041187
10.13278961	0.00073549
10.15663147	0.00054938
10.18047333	0.00042336
10.20431519	0.00063895
10.22815704	0.00064918
10.25199890	0.00074071
10.27584076	0.00077678
10.29968262	0.00110017
10.32352448	0.00269006
10.34736633	0.00422290
10.37120819	0.00258686
10.39505005	0.00069987
10.41889191	0.00061946
10.44273376	0.00063280
10.46657562	0.00048274
10.49041748	0.00052018
10.51425934	0.00019681
10.53810120	0.00033509
10.56194305	0.00066925
10.58578491	0.00049964
10.60962677	0.00088054
10.63346863	0.00241686
10.65731049	0.00321500
10.68115234	0.00233298
10.70499420	0.00189080
10.72883606	0.00084978
10.75267792	0.00030312
10.77651978	0.00073111
10.80036163	0.00059429
10.82420349	0.00033317
10.84804535	0.00035221
10.87188721	0.00044983
10.89572906	0.00053781
10.91957092	0.00079939
10.94341278	0.00043017
10.96725464	0.01247983
10.99109650	0.03266949
11.01493835	0.02900901
11.03878021	0.00814266
11.06262207	0.00078174
11.08646393	0.00044653
11.11030579	0.00047194
11.13414764	0.00074031
11.15798950	0.00047586
11.18183136	0.00030255
11.20567322	0.00057045
11.22951508	0.00059850
11.25335693	0.00092965
11.27719879	0.00092205
11.30104065	0.00063559
11.32488251	0.00247880
11.34872437	0.00410327
11.37256622	0.00240799
11.39640808	0.00094852
11.42024994	0.00085411
11.44409180	0.00073782
11.46793365	0.00061436
11.49177551	0.00044979
11.51561737	0.00010207
11.53945923	0.00030265
11.56330109	0.00069649
11.58714294	0.00062339
11.61098480	0.00111229
11.63482666	0.00218181
11.65866852	0.00292547
11.68251038	0.00258395
11.70635223	0.00203169
11.73019409	0.00070634
11.75403595	0.00016797
11.77787781	0.00042817
11.80171967	0.00039929
11.82556152	0.00040033
11.84940338	0.00040189
11.87324524	0.00045676
11.89708710	0.00065782
11.92092896	0.00078342
11.94477081	0.00046116
11.96861267	0.01081644
11.99245453	0.02687043
12.01629639	0.02260641
12.04013824	0.00588200
12.06398010	0.00105202
12.08782196	0.00044432
12.11166382	0.00061580
12.13550568	0.00069213
12.15934753	0.00039130
12.18318939	0.00036320
12.20703125	0.00031181
12.23087311	0.00037304
12.25471497	0.00082800
12.27855682	0.00080993
12.30239868	0.00019631
12.32624054	0.00227741
12.35008240	0.00367601
12.37392426	0.00203370
12.39776611	0.00090083
12.42160797	0.00047374
12.44544983	0.00016478
12.46929169	0.00055464
12.49313354	0.00064577
12.51697540	0.00038198
12.54081726	0.00054622
12.56465912	0.00077927
12.58850098	0.00073569
12.61234283	0.00095647
12.63618469	0.00151243
12.66002655	0.00200055
12.68386841	0.00227498
12.70771027	0.00195153
12.73155212	0.00064874
12.75539398	0.00050001
12.77923584	0.00073463
12.80307770	0.00056736
12.82691956	0.00048211
12.85076141	0.00016122
12.87460327	0.00012388
12.89844513	0.00074564
12.92228699	0.00084103
12.94612885	0.00075340
12.96997070	0.00897184
12.99381256	0.02096533
13.01765442	0.01670503
13.04149628	0.00415284
13.06533813	0.00089436
13.08917999	0.00025556
13.11302185	0.00051559
13.13686371	0.00070775
13.16070557	0.00043187
13.18454742	0.00034607
13.20838928	0.00017308
13.23223114	0.00045915
13.25607300	0.00094506
13.27991486	0.00063518
13.30375671	0.00056707
13.32759857	0.00228091
13.35144043	0.00329734
13.37528229	0.00175624
13.39912415	0.00086812
13.42296600	0.00046898
13.44680786	0.00037671
13.47064972	0.00066386
13.49449158	0.00064400
13.51833344	0.00033764
13.54217529	0.00031222
13.56601715	0.00036586
13.58985901	0.00063225
13.61370087	0.00106240
13.63754272	0.00079429
13.66138458	0.00089950
13.68522644	0.00184990
13.70906830	0.00167877
13.73291016	0.00065913
13.75675201	0.00056785
13.78059387	0.00034671
13.80443573	0.00031814
13.82827759	0.00064731
