Частота	A * B
(kГц)	(?)

0.00000000	0.36513390
0.02384186	0.15780960
0.04768372	0.02658469
0.07152557	0.01704747
0.09536743	0.02332138
0.11920929	0.00676850
0.14305115	0.00376277
0.16689301	0.02275793
0.19073486	0.02019315
0.21457672	0.00641875
0.23841858	0.00986598
0.26226044	0.02685846
0.28610229	0.01775888
0.30994415	0.00678951
0.33378601	0.01780490
0.35762787	0.02992195
0.38146973	0.01845465
0.40531158	0.00700156
0.42915344	0.02734951
0.45299530	0.03494040
0.47683716	0.02141116
0.50067902	0.01200191
0.52452087	0.04138321
0.54836273	0.04696531
0.57220459	0.02422660
0.59604645	0.02784581
0.61988831	0.07350634
0.64373016	0.07478663
0.66757202	0.02671260
0.69141388	0.09565666
0.71525574	0.21344140
0.73909760	0.17623890
0.76293945	0.06385123
0.78678131	0.25489670
0.81062317	0.46129050
0.83446503	0.29161620
0.85830688	0.05179004
0.88214874	0.09193156
0.90599060	0.12672400
0.92983246	0.06379874
0.95367432	0.01917459
0.97751617	0.07072545
1.00135803	0.07547332
1.02519989	0.03260978
1.04904175	0.02522356
1.07288361	0.06272051
1.09672546	0.05632785
1.12056732	0.02009009
1.14440918	0.03294012
1.16825104	0.06101255
1.19209290	0.04840362
1.21593475	0.01357985
1.23977661	0.04250683
1.26361847	0.06682799
1.28746033	0.04441292
1.31130219	0.01628003
1.33514404	0.06071784
1.35898590	0.08328500
1.38282776	0.04185062
1.40666962	0.03527315
1.43051147	0.11122410
1.45435333	0.12497100
1.47819519	0.04303573
1.50203705	0.19291190
1.52587891	0.48648860
1.54972076	0.42406160
1.57356262	0.11895380
1.59740448	0.11671430
1.62124634	0.21886840
1.64508820	0.15087610
1.66893005	0.03226124
1.69277191	0.05849371
1.71661377	0.08413732
1.74045563	0.04986269
1.76429749	0.01351172
1.78813934	0.04174541
1.81198120	0.05010850
1.83582306	0.02562413
1.85966492	0.01420573
1.88350677	0.03256571
1.90734863	0.03640192
1.93119049	0.01364005
1.95503235	0.01443849
1.97887421	0.02882578
2.00271606	0.02843126
2.02655792	0.00659981
2.05039978	0.01395855
2.07424164	0.02899541
2.09808350	0.02130955
2.12192535	0.00446569
2.14576721	0.01605333
2.16960907	0.03036063
2.19345093	0.01411713
2.21729279	0.00531726
2.24113464	0.02416697
2.26497650	0.03249364
2.28881836	0.01124589
2.31266022	0.09104039
2.33650208	0.23684360
2.36034393	0.22009890
2.38418579	0.07027007
2.40802765	0.00461785
2.43186951	0.01600608
2.45571136	0.00762152
2.47955322	0.00172005
2.50339508	0.01207287
2.52723694	0.02063132
2.55107880	0.00770787
2.57492065	0.00309428
2.59876251	0.01946468
2.62260437	0.02099297
2.64644623	0.00897608
2.67028809	0.00756851
2.69412994	0.02603028
2.71797180	0.02177969
2.74181366	0.01038302
2.76565552	0.01569110
2.78949738	0.03325753
2.81333923	0.02612773
2.83718109	0.01028109
2.86102295	0.02831831
2.88486481	0.04646715
2.90870667	0.03455913
2.93254852	0.01274374
2.95639038	0.05476491
2.98023224	0.07999074
3.00407410	0.04800497
3.02791595	0.04633945
3.05175781	0.17513020
3.07559967	0.21904970
3.09944153	0.09960953
3.12328339	0.12287780
3.14712524	0.36599770
