Время	Канал A	A * B
(mс)	(В)	(?)

-2.49691610	1.07382400	0.39136840
-2.49627610	1.05581800	0.36346420
-2.49563610	1.05581800	0.32624780
-2.49499610	1.05581800	0.28906360
-2.49435610	1.05581800	0.23841650
-2.49371610	1.03775100	0.19271580
-2.49307610	1.03775100	0.14701510
-2.49243610	1.03775100	0.09216153
-2.49179610	1.03775100	0.04646081
-2.49115610	1.03775100	-0.00836105
-2.49051610	1.03775100	-0.05406176
-2.48987610	1.03775100	-0.10888360
-2.48923610	1.03775100	-0.15190210
-2.48859610	1.01974500	-0.19680990
-2.48795610	1.01974500	-0.25071170
-2.48731610	1.01974500	-0.28154720
-2.48667610	1.00167800	-0.32257030
-2.48603610	1.01974500	-0.35213280
-2.48539610	1.00167800	-0.37860610
-2.48475610	1.00167800	-0.41391420
-2.48411610	1.00167800	-0.44035700
-2.48347610	1.00167800	-0.45802630
-2.48283610	1.00167800	-0.46683040
-2.48219610	1.00167800	-0.46711470
-2.48155610	0.98367260	-0.47576050
-2.48091610	0.98367260	-0.47576050
-2.48027610	0.98367260	-0.47576050
-2.47963610	0.98367260	-0.45001870
-2.47899610	0.96560560	-0.44153170
-2.47835610	0.96560560	-0.41601170
-2.47771610	0.96560560	-0.39900820
-2.47707610	0.96560560	-0.37348810
-2.47643610	0.96560560	-0.33945160
-2.47579610	0.96560560	-0.30544460
-2.47515610	0.96560560	-0.27140810
-2.47451610	0.96560560	-0.22461640
-2.47387610	0.94759970	-0.19124350
-2.47323610	0.94759970	-0.14115530
-2.47259610	0.94759970	-0.09942466
-2.47195610	0.94759970	-0.05659779
-2.47131610	0.92959380	-0.00748963
-2.47067610	0.92959380	0.04161852
-2.47003610	0.92959380	0.08255617
-2.46939610	0.92959380	0.12349380
-2.46875610	0.92959380	0.17263030
-2.46811610	0.92959380	0.20536910
-2.46747610	0.92959380	0.24151970
-2.46683610	0.91152690	0.28166170
-2.46619610	0.91152690	0.30759350
-2.46555610	0.89352090	0.33120840
-2.46491610	0.89352090	0.36267670
-2.46427610	0.89352090	0.38629160
-2.46363610	0.89352090	0.40202580
-2.46299610	0.89352090	0.41776000
-2.46235610	0.89352090	0.42564070
-2.46171610	0.89352090	0.42564070
-2.46107610	0.89352090	0.42475560
-2.46043610	0.87545390	0.41703420
-2.45979610	0.87545390	0.40931290
-2.45915610	0.87545390	0.40161820
-2.45851610	0.87545390	0.37848080
-2.45787610	0.87545390	0.36306480
-2.45723610	0.87545390	0.33992740
-2.45659610	0.87545390	0.31027440
-2.45595610	0.85744800	0.28007650
-2.45531610	0.85744800	0.24985240
-2.45467610	0.85744800	0.21209190
-2.45403610	0.85744800	0.17433150
-2.45339610	0.85744800	0.13369340
-2.45275610	0.83938110	0.08932529
-2.45211610	0.83938110	0.05976367
-2.45147610	0.83938110	0.01542123
-2.45083610	0.83938110	-0.02108147
-2.45019610	0.82137520	-0.06447271
-2.44955610	0.82137520	-0.10064460
-2.44891610	0.82137520	-0.14406090
-2.44827610	0.82137520	-0.18023280
-2.44763610	0.82137520	-0.20459960
-2.44699610	0.80336920	-0.24535720
-2.44635610	0.82137520	-0.27428470
-2.44571610	0.82137520	-0.29658980
-2.44507610	0.80336920	-0.31779750
-2.44443610	0.80336920	-0.33902980
-2.44379610	0.80336920	-0.36026210
-2.44315610	0.80336920	-0.36598870
-2.44251610	0.78530230	-0.37291490
-2.44187610	0.78530230	-0.37981720
-2.44123610	0.78530230	-0.37981720
-2.44059610	0.78530230	-0.37981720
-2.43995610	0.78530230	-0.37291490
-2.43931610	0.78530230	-0.36598870
-2.43867610	0.78530230	-0.34408560
-2.43803610	0.76729640	-0.32380670
-2.43739610	0.76729640	-0.30352780
-2.43675610	0.76729640	-0.28327230
-2.43611610	0.76729640	-0.25622600
-2.43547610	0.76729640	-0.22380620
-2.43483610	0.74922940	-0.19739670
-2.43419610	0.74922940	-0.16440200
-2.43355610	0.74922940	-0.13140720
-2.43291610	0.74922940	-0.09841254
-2.43227610	0.74922940	-0.05880972
-2.43163610	0.74922940	-0.01922977
-2.43099610	0.74922940	0.00700718
-2.43035610	0.73122350	0.04561360
-2.42971610	0.73122350	0.07781537
-2.42907610	0.73122350	0.11646640
-2.42843610	0.73122350	0.14500730
-2.42779610	0.71321760	0.17641620
-2.42715610	0.71321760	0.20782500
-2.42651610	0.71321760	0.22093260
-2.42587610	0.69515060	0.25808350
-2.42523610	0.71321760	0.27693310
-2.42459610	0.71321760	0.28829010
-2.42395610	0.69515060	0.30666230
-2.42331610	0.69515060	0.31890330
-2.42267610	0.69515060	0.32501320
-2.42203610	0.69515060	0.32256700
-2.42139610	0.67714470	0.32853930
-2.42075610	0.67714470	0.32853930
-2.42011610	0.67714470	0.32256700
-2.41947610	0.67714470	0.31659470
-2.41883610	0.67714470	0.30467070
-2.41819610	0.67714470	0.29274670
-2.41755610	0.67714470	0.27485050
-2.41691610	0.67714470	0.25695420
-2.41627610	0.67714470	0.23310630
-2.41563610	0.67714470	0.20923770
-2.41499610	0.67714470	0.18044330
-2.41435610	0.65907770	0.14728200
-2.41371610	0.64107180	0.11905030
-2.41307610	0.64107180	0.09081867
-2.41243610	0.64107180	0.05693286
-2.41179610	0.64107180	0.02870120
-2.41115610	0.64107180	-0.00516504
-2.41051610	0.64107180	-0.03339670
-2.40987610	0.64107180	-0.06726294
-2.40923610	0.64107180	-0.09549460
-2.40859610	0.64107180	-0.12372620
-2.40795610	0.64107180	-0.14767540
-2.40731610	0.62300490	-0.16963560
-2.40667610	0.62300490	-0.19707160
-2.40603610	0.62300490	-0.21901280
-2.40539610	0.62300490	-0.23400850
-2.40475610	0.60499890	-0.24999800
-2.40411610	0.60499890	-0.26840900
-2.40347610	0.62300490	-0.27664110
-2.40283610	0.60499890	-0.28195860
-2.40219610	0.60499890	-0.29261220
-2.40155610	0.60499890	-0.29261220
-2.40091610	0.60499890	-0.29261220
-2.40027610	0.60499890	-0.28729460
-2.39963610	0.60499890	-0.28195860
-2.39899610	0.60499890	-0.26840770
-2.39835610	0.58699300	-0.25805340
-2.39771610	0.58699300	-0.24255760
-2.39707610	0.58699300	-0.22704400
-2.39643610	0.58699300	-0.20635310
-2.39579610	0.58699300	-0.18496560
-2.39515610	0.56892600	-0.15991120
-2.39451610	0.56892600	-0.13485670
-2.39387610	0.56892600	-0.11482000
-2.39323610	0.56892600	-0.08474770
-2.39259610	0.56892600	-0.05969322
-2.39195610	0.56892600	-0.03463874
-2.39131610	0.56892600	-0.00443870
-2.39067610	0.55092010	0.02466505
-2.39003610	0.55092010	0.04892659
-2.38939610	0.55092010	0.07318813
-2.38875610	0.55092010	0.09895357
-2.38811610	0.53285320	0.12241950
-2.38747610	0.53285320	0.14588540
-2.38683610	0.53285320	0.17023430
-2.38619610	0.55092010	0.18343410
-2.38555610	0.53285320	0.19751690
-2.38491610	0.53285320	0.21628310
-2.38427610	0.53285320	0.23036590
-2.38363610	0.53285320	0.23164750
-2.38299610	0.51484730	0.24913210
-2.38235610	0.53285320	0.24525440
-2.38171610	0.51484730	0.24979530
-2.38107610	0.51484730	0.24979530
-2.38043610	0.51484730	0.24525440
-2.37979610	0.51484730	0.23226640
-2.37915610	0.49678030	0.23618840
-2.37851610	0.51484730	0.21915220
-2.37787610	0.49678030	0.21038910
-2.37723610	0.49678030	0.19289330
-2.37659610	0.49678030	0.17976390
-2.37595610	0.49678030	0.16226810
-2.37531610	0.49678030	0.14475720
-2.37467610	0.49678030	0.12264880
-2.37403610	0.47877440	0.09734168
-2.37339610	0.47877440	0.07625731
-2.37275610	0.47877440	0.05517295
-2.37211610	0.47877440	0.03408859
-2.37147610	0.47877440	0.00846530
-2.37083610	0.46076850	-0.01228826
-2.37019610	0.47877440	-0.03616738
-2.36955610	0.46076850	-0.05645880
-2.36891610	0.46076850	-0.08081412
-2.36827610	0.46076850	-0.10110550
-2.36763610	0.46076850	-0.12139700
-2.36699610	0.46076850	-0.13763850
-2.36635610	0.46076850	-0.15386600
-2.36571610	0.46076850	-0.17010760
-2.36507610	0.46076850	-0.17512430
-2.36443610	0.44270150	-0.19444890
-2.36379610	0.46076850	-0.19852460
-2.36315610	0.44270150	-0.20632020
-2.36251610	0.44270150	-0.21022480
-2.36187610	0.44270150	-0.21411580
-2.36123610	0.44270150	-0.21411580
-2.36059610	0.44270150	-0.21411580
-2.35995610	0.44270150	-0.21022480
-2.35931610	0.44270150	-0.20632020
-2.35867610	0.44270150	-0.19045010
-2.35803610	0.42469560	-0.17922580
-2.35739610	0.42469560	-0.16800150
-2.35675610	0.42469560	-0.15679010
-2.35611610	0.42469560	-0.14182010
-2.35547610	0.42469560	-0.12686300
-2.35483610	0.42469560	-0.10816020
-2.35419610	0.42469560	-0.08922573
-2.35355610	0.40662860	-0.07131854
-2.35291610	0.40662860	-0.05341135
-2.35227610	0.40662860	-0.03191775
-2.35163610	0.40662860	-0.01463305
-2.35099610	0.42469560	0.00747064
-2.35035610	0.40662860	0.02424222
-2.34971610	0.38862270	0.04685902
-2.34907610	0.40662860	0.06189831
-2.34843610	0.38862270	0.07901256
-2.34779610	0.38862270	0.09612681
-2.34715610	0.38862270	0.11324100
-2.34651610	0.38862270	0.12693960
-2.34587610	0.38862270	0.14062620
-2.34523610	0.38862270	0.15089710
-2.34459610	0.38862270	0.16116810
-2.34395610	0.38862270	0.17143900
-2.34331610	0.38862270	0.17828230
-2.34267610	0.38862270	0.17327950
-2.34203610	0.37061680	0.17981710
-2.34139610	0.37061680	0.17981710
-2.34075610	0.37061680	0.17981710
-2.34011610	0.37061680	0.18512560
-2.33947610	0.38862270	0.17327950
-2.33883610	0.37061680	0.16675320
-2.33819610	0.37061680	0.16022700
-2.33755610	0.37061680	0.14309860
-2.33691610	0.35254980	0.13378110
-2.33627610	0.35254980	0.12758440
-2.33563610	0.37061680	0.11452050
-2.33499610	0.37061680	0.09652163
-2.33435610	0.35254980	0.08099598
-2.33371610	0.35254980	0.06547031
-2.33307610	0.35254980	0.04994465
-2.33243610	0.35254980	0.03130955
-2.33179610	0.35254980	0.01497775
-2.33115610	0.33454390	-0.00284045
-2.33051610	0.35254980	-0.02146479
-2.32987610	0.35254980	-0.03510123
-2.32923610	0.33454390	-0.05251612
-2.32859610	0.35254980	-0.06456666
-2.32795610	0.33454390	-0.07929937
-2.32731610	0.33454390	-0.09403209
-2.32667610	0.33454390	-0.10582440
-2.32603610	0.33454390	-0.11760650
-2.32539610	0.33454390	-0.12939880
-2.32475610	0.33454390	-0.13824040
-2.32411610	0.33454390	-0.14413150
-2.32347610	0.33454390	-0.14471190
-2.32283610	0.31647690	-0.15028480
-2.32219610	0.31647690	-0.15306640
-2.32155610	0.31647690	-0.15306640
-2.32091610	0.31647690	-0.15306640
-2.32027610	0.31647690	-0.15306640
-2.31963610	0.31647690	-0.15028480
-2.31899610	0.31647690	-0.14471190
-2.31835610	0.31647690	-0.13634770
-2.31771610	0.31647690	-0.13077480
-2.31707610	0.31647690	-0.12241060
-2.31643610	0.31647690	-0.11125520
-2.31579610	0.31647690	-0.09441365
-2.31515610	0.29847100	-0.08895390
-2.31451610	0.31647690	-0.07501683
-2.31387610	0.31647690	-0.05760463
-2.31323610	0.29847100	-0.04446050
-2.31259610	0.29847100	-0.03131637
-2.31195610	0.29847100	-0.01817224
-2.31131610	0.29847100	-0.00240475
-2.31067610	0.29847100	0.01073938
-2.31003610	0.29847100	0.02650687
-2.30939610	0.29847100	0.04228347
-2.30875610	0.29847100	0.05542760
-2.30811610	0.29847100	0.06857173
-2.30747610	0.29847100	0.08171586
