Время	Канал A	A * B
(mс)	(В)	(?)

-2.49671610	1.23172700	0.08769857
-2.49607610	1.23172700	0.14194160
-2.49543610	1.23172700	0.20704830
-2.49479610	1.23172700	0.26129140
-2.49415610	1.23172700	0.31553440
-2.49351610	1.23172700	0.35891380
-2.49287610	1.23172700	0.38767700
-2.49223610	1.18686500	0.44571020
-2.49159610	1.23172700	0.47127600
-2.49095610	1.18686500	0.49221190
-2.49031610	1.18686500	0.50385610
-2.48967610	1.14215500	0.54447930
-2.48903610	1.18686500	0.55491100
-2.48839610	1.18686500	0.54408100
-2.48775610	1.14215500	0.55415460
-2.48711610	1.14215500	0.55415460
-2.48647610	1.14215500	0.54408100
-2.48583610	1.14215500	0.52396850
-2.48519610	1.14215500	0.51389490
-2.48455610	1.14215500	0.48370880
-2.48391610	1.14215500	0.44348400
-2.48327610	1.14215500	0.42337160
-2.48263610	1.14215500	0.38311190
-2.48199610	1.14215500	0.34288700
-2.48135610	1.14215500	0.30262740
-2.48071610	1.14215500	0.25232890
-2.48007610	1.14215500	0.20203040
-2.47943610	1.14215500	0.15173200
-2.47879610	1.14215500	0.09139472
-2.47815610	1.14215500	0.04109626
-2.47751610	1.14215500	-0.01848781
-2.47687610	1.09744600	-0.06681735
-2.47623610	1.09744600	-0.11514690
-2.47559610	1.09744600	-0.17315570
-2.47495610	1.09744600	-0.22148530
-2.47431610	1.09744600	-0.26981480
-2.47367610	1.09744600	-0.30846500
-2.47303610	1.09744600	-0.35679460
-2.47239610	1.09744600	-0.38579900
-2.47175610	1.09744600	-0.42448270
-2.47111610	1.09744600	-0.45348720
-2.47047610	1.09744600	-0.48245810
-2.46983610	1.09744600	-0.50181670
-2.46919610	1.09744600	-0.49983810
-2.46855610	1.05258300	-0.50908960
-2.46791610	1.05258300	-0.50908960
-2.46727610	1.05258300	-0.50908960
-2.46663610	1.05258300	-0.50908960
-2.46599610	1.05258300	-0.49055450
-2.46535610	1.05258300	-0.48130300
-2.46471610	1.05258300	-0.46273580
-2.46407610	1.05258300	-0.43494910
-2.46343610	1.05258300	-0.39784680
-2.46279610	1.05258300	-0.37002800
-2.46215610	1.05258300	-0.32367410
-2.46151610	1.05258300	-0.27443010
-2.46087610	1.00787400	-0.23890360
-2.46023610	1.00787400	-0.19451870
-2.45959610	1.00787400	-0.15013370
-2.45895610	1.00787400	-0.09689024
-2.45831610	1.00787400	-0.05250528
-2.45767610	1.00787400	0.00073486
-2.45703610	0.96316420	0.04512317
-2.45639610	1.00787400	0.09839742
-2.45575610	1.00787400	0.14278240
-2.45511610	1.00787400	0.17886450
-2.45447610	0.96316420	0.22128060
-2.45383610	0.96316420	0.26369660
-2.45319610	0.96316420	0.29761760
-2.45255610	0.96316420	0.33156810
-2.45191610	0.96316420	0.36548920
-2.45127610	0.96316420	0.39094470
-2.45063610	0.96316420	0.41640010
-2.44999610	0.96316420	0.43336070
-2.44935610	0.96316420	0.45032120
-2.44871610	0.96316420	0.45881620
-2.44807610	0.96316420	0.46731110
-2.44743610	0.96316420	0.46731110
-2.44679610	0.96316420	0.45881620
-2.44615610	0.96316420	0.42934620
-2.44551610	0.91830190	0.42127490
-2.44487610	0.91830190	0.41640010
-2.44423610	0.96316420	0.39943960
-2.44359610	0.96316420	0.35656470
-2.44295610	0.91830190	0.32419560
-2.44231610	0.91830190	0.29185450
-2.44167610	0.91830190	0.25951340
-2.44103610	0.91830190	0.21907300
-2.44039610	0.91830190	0.18670390
-2.43975610	0.91830190	0.13816430
-2.43911610	0.91830190	0.09772389
-2.43847610	0.91830190	0.05449454
-2.43783610	0.87359230	0.00879992
-2.43719610	0.91830190	-0.03009997
-2.43655610	0.87359230	-0.07627637
-2.43591610	0.87359230	-0.11474780
-2.43527610	0.87359230	-0.16092420
-2.43463610	0.87359230	-0.19939560
-2.43399610	0.87359230	-0.23016210
-2.43335610	0.87359230	-0.26863360
-2.43271610	0.87359230	-0.29942670
-2.43207610	0.87359230	-0.32251490
-2.43143610	0.87359230	-0.35328140
-2.43079610	0.87359230	-0.37636960
-2.43015610	0.87359230	-0.37170330
-2.42951610	0.82888270	-0.38629930
-2.42887610	0.82888270	-0.39360990
-2.42823610	0.82888270	-0.40089520
-2.42759610	0.82888270	-0.40089520
-2.42695610	0.82888270	-0.40089520
-2.42631610	0.82888270	-0.39360990
-2.42567610	0.82888270	-0.37901390
-2.42503610	0.82888270	-0.35158530
-2.42439610	0.78402050	-0.34979670
-2.42375610	0.82888270	-0.32789020
-2.42311610	0.82888270	-0.28944660
-2.42247610	0.78402050	-0.26948110
-2.42183610	0.82888270	-0.22728390
-2.42119610	0.78402050	-0.19967200
-2.42055610	0.78402050	-0.16514510
-2.41991610	0.78402050	-0.13061820
-2.41927610	0.78402050	-0.08917644
-2.41863610	0.78402050	-0.06154060
-2.41799610	0.78402050	-0.02012272
-2.41735610	0.78402050	0.02131908
-2.41671610	0.78402050	0.05582201
-2.41607610	0.78402050	0.09034887
-2.41543610	0.78402050	0.13179070
-2.41479610	0.78402050	0.16631750
-2.41415610	0.78402050	0.20084440
-2.41351610	0.78402050	0.22845630
-2.41287610	0.78402050	0.25609210
-2.41223610	0.78402050	0.26752560
-2.41159610	0.73931090	0.29356290
-2.41095610	0.73931090	0.31310220
-2.41031610	0.73931090	0.32614340
-2.40967610	0.73931090	0.33916200
-2.40903610	0.73931090	0.34566010
-2.40839610	0.73931090	0.35870130
-2.40775610	0.73931090	0.35218070
-2.40711610	0.73931090	0.35218070
-2.40647610	0.73931090	0.35218070
-2.40583610	0.73931090	0.33916200
-2.40519610	0.73931090	0.31252500
-2.40455610	0.69460130	0.30029370
-2.40391610	0.69460130	0.27580970
-2.40327610	0.69460130	0.25747330
-2.40263610	0.69460130	0.23298940
-2.40199610	0.69460130	0.20852660
-2.40135610	0.69460130	0.17793770
-2.40071610	0.69460130	0.15345370
-2.40007610	0.69460130	0.12286470
-2.39943610	0.69460130	0.09227575
-2.39879610	0.69460130	0.05558167
-2.39815610	0.69460130	0.02499267
-2.39751610	0.69460130	-0.01170140
-2.39687610	0.69460130	-0.03955899
-2.39623610	0.64973910	-0.07287940
-2.39559610	0.69460130	-0.10959470
-2.39495610	0.69460130	-0.13112960
-2.39431610	0.64973910	-0.15974300
-2.39367610	0.64973910	-0.18262570
-2.39303610	0.64973910	-0.21123910
-2.39239610	0.64973910	-0.23414160
-2.39175610	0.64973910	-0.25131360
-2.39111610	0.64973910	-0.26848560
-2.39047610	0.64973910	-0.26598250
-2.38983610	0.60502950	-0.29709890
-2.38919610	0.64973910	-0.30854030
-2.38855610	0.64973910	-0.29262690
-2.38791610	0.60502950	-0.29262690
-2.38727610	0.60502950	-0.29262690
-2.38663610	0.60502950	-0.29262690
-2.38599610	0.60502950	-0.28197290
-2.38535610	0.60502950	-0.27665500
-2.38471610	0.60502950	-0.26066470
-2.38407610	0.60502950	-0.25001060
-2.38343610	0.60502950	-0.22868400
-2.38279610	0.60502950	-0.21269370
-2.38215610	0.60502950	-0.19138560
-2.38151610	0.60502950	-0.17005900
-2.38087610	0.60502950	-0.14341450
-2.38023610	0.60502950	-0.10811170
-2.37959610	0.56016730	-0.08480790
-2.37895610	0.60502950	-0.05816348
-2.37831610	0.60502950	-0.02918197
-2.37767610	0.56016730	0.00042739
-2.37703610	0.56016730	0.02507905
-2.37639610	0.56016730	0.05468841
-2.37575610	0.56016730	0.07935717
-2.37511610	0.56016730	0.10402590
-2.37447610	0.56016730	0.12869470
-2.37383610	0.56016730	0.15336350
-2.37319610	0.56016730	0.17309160
-2.37255610	0.56016730	0.19283690
-2.37191610	0.56016730	0.21256510
-2.37127610	0.56016730	0.22736980
-2.37063610	0.56016730	0.24217440
-2.36999610	0.56016730	0.25203850
-2.36935610	0.56016730	0.26190260
-2.36871610	0.56016730	0.26684320
-2.36807610	0.56016730	0.27178380
-2.36743610	0.56016730	0.24554520
-2.36679610	0.51545760	0.24554520
-2.36615610	0.51545760	0.24099890
-2.36551610	0.51545760	0.23646840
-2.36487610	0.51545760	0.22739160
-2.36423610	0.51545760	0.21376850
-2.36359610	0.51545760	0.19559920
-2.36295610	0.51545760	0.18652250
-2.36231610	0.51545760	0.16382260
-2.36167610	0.51545760	0.13303400
-2.36103610	0.47074800	0.12296920
-2.36039610	0.51545760	0.10479990
-2.35975610	0.51545760	0.07755382
-2.35911610	0.51545760	0.05009608
-2.35847610	0.47074800	0.02936518
-2.35783610	0.47074800	0.00451109
-2.35719610	0.47074800	-0.01621981
-2.35655610	0.47074800	-0.04110264
-2.35591610	0.47074800	-0.06770622
-2.35527610	0.51545760	-0.08671636
-2.35463610	0.47074800	-0.10329530
-2.35399610	0.47074800	-0.12402620
-2.35335610	0.47074800	-0.14475710
-2.35271610	0.47074800	-0.16135050
-2.35207610	0.47074800	-0.16097280
-2.35143610	0.42588580	-0.17222850
-2.35079610	0.42588580	-0.17972800
-2.35015610	0.42588580	-0.19474000
-2.34951610	0.42588580	-0.19848330
-2.34887610	0.42588580	-0.20223950
-2.34823610	0.42588580	-0.20598280
-2.34759610	0.42588580	-0.22768070
-2.34695610	0.47074800	-0.20598280
-2.34631610	0.42588580	-0.20223950
-2.34567610	0.42588580	-0.19474000
-2.34503610	0.42588580	-0.18722750
-2.34439610	0.42588580	-0.17972800
-2.34375610	0.42588580	-0.16847230
-2.34311610	0.42588580	-0.15722950
-2.34247610	0.42588580	-0.13846130
-2.34183610	0.42588580	-0.12721850
-2.34119610	0.42588580	-0.10846330
-2.34055610	0.42588580	-0.08970805
-2.33991610	0.42588580	-0.06350416
-2.33927610	0.38117620	-0.04670621
-2.33863610	0.38117620	-0.02968606
-2.33799610	0.42588580	-0.01093081
-2.33735610	0.42588580	0.01036494
-2.33671610	0.38117620	0.02713962
-2.33607610	0.38117620	0.04392594
-2.33543610	0.38117620	0.06407417
-2.33479610	0.38117620	0.08086049
-2.33415610	0.38117620	0.09428489
-2.33351610	0.38117620	0.11107120
-2.33287610	0.38117620	0.12450720
-2.33223610	0.38117620	0.13793160
-2.33159610	0.38117620	0.14800580
-2.33095610	0.38117620	0.15807990
-2.33031610	0.38117620	0.16815400
-2.32967610	0.38117620	0.17486620
-2.32903610	0.38117620	0.15731280
-2.32839610	0.33646660	0.18157840
-2.32775610	0.38117620	0.18494030
-2.32711610	0.38117620	0.18157840
-2.32647610	0.38117620	0.16028040
-2.32583610	0.33646660	0.15731280
-2.32519610	0.33646660	0.15138790
-2.32455610	0.33646660	0.14249540
-2.32391610	0.33646660	0.15135600
-2.32327610	0.38117620	0.12472070
-2.32263610	0.33646660	0.12785750
-2.32199610	0.38117620	0.10396810
-2.32135610	0.33646660	0.08915076
-2.32071610	0.33646660	0.08421077
-2.32007610	0.38117620	0.05951598
-2.31943610	0.33646660	0.04469860
-2.31879610	0.33646660	0.02692390
-2.31815610	0.33646660	0.01210651
-2.31751610	0.33646660	-0.00566819
-2.31687610	0.33646660	-0.02048557
-2.31623610	0.33646660	-0.03530296
-2.31559610	0.33646660	-0.04343763
-2.31495610	0.29160440	-0.06790531
-2.31431610	0.33646660	-0.08272270
-2.31367610	0.33646660	-0.09457251
-2.31303610	0.33646660	-0.10938990
-2.31239610	0.33646660	-0.12125000
-2.31175610	0.33646660	-0.13014240
-2.31111610	0.33646660	-0.12049690
-2.31047610	0.29160440	-0.14791710
-2.30983610	0.33646660	-0.13333870
-2.30919610	0.29160440	-0.13847360
-2.30855610	0.29160440	-0.14103660
-2.30791610	0.29160440	-0.14103660
-2.30727610	0.29160440	-0.14103660
-2.30663610	0.29160440	-0.13847360
