Частота	A * B
(kГц)	(?)

0.00000000	0.66422350
0.02384186	0.29751960
0.04768372	0.09198148
0.07152557	0.07817111
0.09536743	0.08648828
0.11920929	0.04664917
0.14305115	0.05031705
0.16689301	0.09102673
0.19073486	0.06420485
0.21457672	0.03898778
0.23841858	0.06453585
0.26226044	0.08656920
0.28610229	0.04028274
0.30994415	0.03586740
0.33378601	0.07818116
0.35762787	0.06684614
0.38146973	0.01629235
0.40531158	0.04894796
0.42915344	0.07846522
0.45299530	0.04263265
0.47683716	0.01911723
0.50067902	0.06341431
0.52452087	0.07062907
0.54836273	0.04743292
0.57220459	0.05359463
0.59604645	0.06835350
0.61988831	0.10380370
0.64373016	0.12062990
0.66757202	0.08023705
0.69141388	0.15762660
0.71525574	0.38407810
0.73909760	0.35259090
0.76293945	0.18609230
0.78678131	0.55713650
0.81062317	0.94398400
0.83446503	0.55604900
0.85830688	0.04683391
0.88214874	0.22096210
0.90599060	0.24469040
0.92983246	0.08221185
0.95367432	0.07411674
0.97751617	0.15399650
1.00135803	0.11497030
1.02519989	0.03324151
1.04904175	0.08375298
1.07288361	0.10576760
1.09672546	0.06657697
1.12056732	0.05410642
1.14440918	0.07251714
1.16825104	0.07750566
1.19209290	0.07421296
1.21593475	0.06308440
1.23977661	0.05428432
1.26361847	0.09405959
1.28746033	0.10041800
1.31130219	0.05024304
1.33514404	0.07504782
1.35898590	0.15482480
1.38282776	0.11897470
1.40666962	0.02784273
1.43051147	0.19322180
1.45435333	0.26848780
1.47819519	0.11504160
1.50203705	0.34121900
1.52587891	0.97123750
1.54972076	0.88910810
1.57356262	0.29228400
1.59740448	0.25909500
1.62124634	0.41078290
1.64508820	0.25576770
1.66893005	0.07186606
1.69277191	0.11330490
1.71661377	0.12226860
1.74045563	0.08035375
1.76429749	0.06080560
1.78813934	0.05001152
1.81198120	0.06411683
1.83582306	0.07235039
1.85966492	0.04158281
1.88350677	0.02053098
1.90734863	0.07225394
1.93119049	0.06875638
1.95503235	0.02036061
1.97887421	0.04430103
2.00271606	0.08656265
2.02655792	0.05407172
2.05039978	0.02729261
2.07424164	0.07357539
2.09808350	0.08714216
2.12192535	0.04164383
2.14576721	0.04649207
2.16960907	0.09779289
2.19345093	0.07321285
2.21729279	0.04157453
2.24113464	0.07664545
2.26497650	0.11176740
2.28881836	0.06965552
2.31266022	0.19028370
2.33650208	0.43341100
2.36034393	0.40252030
2.38418579	0.15453880
2.40802765	0.05646644
2.43186951	0.07858619
2.45571136	0.05164783
2.47955322	0.04666760
2.50339508	0.06964747
2.52723694	0.07759234
2.55107880	0.04311429
2.57492065	0.04613792
2.59876251	0.08273891
2.62260437	0.05861069
2.64644623	0.03265106
2.67028809	0.05896371
2.69412994	0.07936752
2.71797180	0.03395497
2.74181366	0.02942785
2.76565552	0.07152554
2.78949738	0.06286342
2.81333923	0.00685456
2.83718109	0.04670525
2.86102295	0.07266273
2.88486481	0.05408956
2.90870667	0.04232405
2.93254852	0.06171428
2.95639038	0.08490520
2.98023224	0.11533490
3.00407410	0.09874555
3.02791595	0.08745521
3.05175781	0.30356880
3.07559967	0.41500680
3.09944153	0.23077190
3.12328339	0.29647740
3.14712524	0.77087250
