Частота	Канал A
(kГц)	(В)

0.00000000	0.28882520
0.02384186	0.12142670
0.04768372	0.01898015
0.07152557	0.00063355
0.09536743	0.00072508
0.11920929	0.00073835
0.14305115	0.00030484
0.16689301	0.00033481
0.19073486	0.00026130
0.21457672	0.00022812
0.23841858	0.00015239
0.26226044	0.00082260
0.28610229	0.00149794
0.30994415	0.00240133
0.33378601	0.00298720
0.35762787	0.00273881
0.38146973	0.00101629
0.40531158	0.00031820
0.42915344	0.00026855
0.45299530	0.00021903
0.47683716	0.00033369
0.50067902	0.00037658
0.52452087	0.00027184
0.54836273	0.00021565
0.57220459	0.00011068
0.59604645	0.00032819
0.61988831	0.00129490
0.64373016	0.00369331
0.66757202	0.00406511
0.69141388	0.00289342
0.71525574	0.00149659
0.73909760	0.00067179
0.76293945	0.00018465
0.78678131	0.00012594
0.81062317	0.00016591
0.83446503	0.00037273
0.85830688	0.00043854
0.88214874	0.00054998
0.90599060	0.00062904
0.92983246	0.00074987
0.95367432	0.01784169
0.97751617	0.10365530
1.00135803	0.16403160
1.02519989	0.09155238
1.04904175	0.01252782
1.07288361	0.00097830
1.09672546	0.00069331
1.12056732	0.00054501
1.14440918	0.00049625
1.16825104	0.00039681
1.19209290	0.00034196
1.21593475	0.00047607
1.23977661	0.00057089
1.26361847	0.00079914
1.28746033	0.00139030
1.31130219	0.00202522
1.33514404	0.00192972
1.35898590	0.00154390
1.38282776	0.00085121
1.40666962	0.00072481
1.43051147	0.00076402
1.45435333	0.00058595
1.47819519	0.00045739
1.50203705	0.00051415
1.52587891	0.00042484
1.54972076	0.00045015
1.57356262	0.00032656
1.59740448	0.00059600
1.62124634	0.00170981
1.64508820	0.00413834
1.66893005	0.00398676
1.69277191	0.00238232
1.71661377	0.00115703
1.74045563	0.00050866
1.76429749	0.00030028
1.78813934	0.00022188
1.81198120	0.00010379
1.83582306	0.00041681
1.85966492	0.00042811
1.88350677	0.00024707
1.90734863	0.00044604
1.93119049	0.00045207
1.95503235	0.01959713
1.97887421	0.10189970
2.00271606	0.15168740
2.02655792	0.07947143
2.05039978	0.00964573
2.07424164	0.00061740
2.09808350	0.00044641
2.12192535	0.00037813
2.14576721	0.00010031
2.16960907	0.00007707
2.19345093	0.00033704
2.21729279	0.00071388
2.24113464	0.00055740
2.26497650	0.00053192
2.28881836	0.00102878
2.31266022	0.00120646
2.33650208	0.00040548
2.36034393	0.00041512
2.38418579	0.00067683
2.40802765	0.00057494
2.43186951	0.00069698
2.45571136	0.00047943
2.47955322	0.00030363
2.50339508	0.00027142
2.52723694	0.00010765
2.55107880	0.00035053
2.57492065	0.00052677
2.59876251	0.00087524
2.62260437	0.00161310
2.64644623	0.00408873
2.67028809	0.00387214
2.69412994	0.00195276
2.71797180	0.00093341
2.74181366	0.00053194
2.76565552	0.00054390
2.78949738	0.00024823
2.81333923	0.00023973
2.83718109	0.00038639
2.86102295	0.00042071
2.88486481	0.00021268
2.90870667	0.00014199
2.93254852	0.00028872
2.95639038	0.02003342
2.98023224	0.09452531
3.00407410	0.13273740
3.02791595	0.06545968
3.05175781	0.00707944
3.07559967	0.00063761
3.09944153	0.00035028
3.12328339	0.00014249
3.14712524	0.00033001
3.17096710	0.00045918
3.19480896	0.00042059
3.21865082	0.00061884
3.24249268	0.00075764
3.26633453	0.00075985
3.29017639	0.00048432
3.31401825	0.00048483
3.33786011	0.00144326
3.36170197	0.00125468
3.38554382	0.00082778
3.40938568	0.00069260
3.43322754	0.00065321
3.45706940	0.00053822
3.48091125	0.00043684
3.50475311	0.00030892
3.52859497	0.00031046
3.55243683	0.00030549
3.57627869	0.00075713
3.60012054	0.00077907
3.62396240	0.00138044
3.64780426	0.00337518
3.67164612	0.00280406
3.69548798	0.00085176
3.71932983	0.00058610
3.74317169	0.00049445
3.76701355	0.00068066
3.79085541	0.00063594
3.81469727	0.00039798
3.83853912	0.00024897
3.86238098	0.00035453
3.88622284	0.00016923
3.91006470	0.00024068
3.93390656	0.00072895
3.95774841	0.01916500
3.98159027	0.08201724
4.00543213	0.10845290
4.02927399	0.05021818
4.05311584	0.00498640
4.07695770	0.00024833
4.10079956	0.00020639
4.12464142	0.00001427
4.14848328	0.00033585
4.17232513	0.00039004
4.19616699	0.00052587
4.22000885	0.00079595
4.24385071	0.00080328
4.26769257	0.00043017
4.29153442	0.00049156
4.31537628	0.00147717
4.33921814	0.00289367
4.36306000	0.00224397
4.38690186	0.00102539
4.41074371	0.00067602
4.43458557	0.00074437
4.45842743	0.00048446
4.48226929	0.00032624
4.50611115	0.00018365
4.52995300	0.00036948
4.55379486	0.00044598
4.57763672	0.00056221
4.60147858	0.00074050
4.62532043	0.00137255
4.64916229	0.00243896
4.67300415	0.00169344
4.69684601	0.00024546
4.72068787	0.00074463
4.74452972	0.00068841
4.76837158	0.00062675
4.79221344	0.00050462
4.81605530	0.00040848
4.83989716	0.00022564
4.86373901	0.00030977
4.88758087	0.00017293
4.91142273	0.00038737
4.93526459	0.00081486
4.95910645	0.01665117
4.98294830	0.06530444
5.00679016	0.08152409
5.03063202	0.03541966
5.05447388	0.00316750
5.07831573	0.00026896
5.10215759	0.00027130
5.12599945	0.00014325
5.14984131	0.00029741
5.17368317	0.00059982
5.19752502	0.00048635
5.22136688	0.00018775
5.24520874	0.00051274
5.26905060	0.00054792
5.29289246	0.00105154
5.31673431	0.00222271
5.34057617	0.00395659
5.36441803	0.00285716
5.38825989	0.00113863
5.41210175	0.00075961
5.43594360	0.00034271
5.45978546	0.00016730
5.48362732	0.00027390
5.50746918	0.00033521
5.53131104	0.00044606
5.55515289	0.00035644
5.57899475	0.00061553
5.60283661	0.00085220
5.62667847	0.00075733
5.65052032	0.00071475
5.67436218	0.00083109
5.69820404	0.00074398
5.72204590	0.00057970
5.74588776	0.00063934
5.76972961	0.00062339
5.79357147	0.00067560
5.81741333	0.00057927
5.84125519	0.00027347
5.86509705	0.00029220
5.88893890	0.00033584
5.91278076	0.00059324
5.93662262	0.00123176
5.96046448	0.01314010
5.98430634	0.04608885
6.00814819	0.05411508
6.03199005	0.02206727
6.05583191	0.00188369
6.07967377	0.00042516
6.10351563	0.00075065
6.12735748	0.00074687
6.15119934	0.00042184
6.17504120	0.00046797
6.19888306	0.00055761
6.22272491	0.00042979
6.24656677	0.00029926
6.27040863	0.00048828
6.29425049	0.00171198
6.31809235	0.00292621
6.34193420	0.00413827
6.36577606	0.00272893
6.38961792	0.00062049
6.41345978	0.00050461
6.43730164	0.00043626
6.46114349	0.00030533
6.48498535	0.00034256
6.50882721	0.00042129
6.53266907	0.00079619
6.55651093	0.00085117
6.58035278	0.00045303
6.60419464	0.00038242
6.62803650	0.00079646
6.65187836	0.00114568
6.67572021	0.00151087
6.69956207	0.00137700
6.72340393	0.00073264
6.74724579	0.00076080
6.77108765	0.00041412
6.79492950	0.00020076
6.81877136	0.00036305
6.84261322	0.00027133
6.86645508	0.00031686
6.89029694	0.00056738
6.91413879	0.00086807
6.93798065	0.00095968
6.96182251	0.00800114
6.98566437	0.02565506
7.00950623	0.02837135
7.03334808	0.01087086
7.05718994	0.00102495
7.08103180	0.00059320
7.10487366	0.00073533
7.12871552	0.00062294
7.15255737	0.00024046
7.17639923	0.00018146
7.20024109	0.00024953
7.22408295	0.00012168
7.24792480	0.00025542
7.27176666	0.00065266
7.29560852	0.00182103
7.31945038	0.00316049
7.34329224	0.00434198
7.36713409	0.00294119
7.39097595	0.00084647
7.41481781	0.00033792
7.43865967	0.00052892
7.46250153	0.00063849
7.48634338	0.00064658
7.51018524	0.00062293
7.53402710	0.00058914
7.55786896	0.00053708
7.58171082	0.00045054
7.60555267	0.00033159
7.62939453	0.00156431
7.65323639	0.00298979
7.67707825	0.00268398
7.70092010	0.00197590
7.72476196	0.00096863
7.74860382	0.00078639
7.77244568	0.00054622
7.79628754	0.00029321
7.82012939	0.00013473
7.84397125	0.00017895
7.86781311	0.00054796
7.89165497	0.00065826
7.91549683	0.00087770
7.93933868	0.00099203
7.96318054	0.00259490
7.98702240	0.00617612
8.01086426	0.00652731
8.03470612	0.00286018
8.05854797	0.00094776
8.08238983	0.00064243
8.10623169	0.00052446
8.13007355	0.00058708
8.15391541	0.00042052
8.17775726	0.00011797
8.20159912	0.00024964
8.22544098	0.00037007
8.24928284	0.00066698
8.27312469	0.00086161
8.29696655	0.00218935
8.32080841	0.00305686
8.34465027	0.00324018
8.36849213	0.00196741
8.39233398	0.00043012
8.41617584	0.00006441
8.44001770	0.00025246
8.46385956	0.00037945
8.48770142	0.00022083
8.51154327	0.00051968
8.53538513	0.00064394
8.55922699	0.00050283
8.58306885	0.00046551
8.60691071	0.00076003
8.63075256	0.00254616
8.65459442	0.00423920
8.67843628	0.00334133
8.70227814	0.00215830
8.72612000	0.00095561
8.74996185	0.00070659
8.77380371	0.00051673
8.79764557	0.00046419
8.82148743	0.00025739
8.84532928	0.00028026
8.86917114	0.00044356
8.89301300	0.00062284
8.91685486	0.00075017
8.94069672	0.00028966
8.96453857	0.00358970
8.98838043	0.01108930
9.01222229	0.01102610
9.03606415	0.00351106
9.05990601	0.00064711
9.08374786	0.00083115
9.10758972	0.00060297
9.13143158	0.00054204
9.15527344	0.00038841
9.17911530	0.00029727
9.20295715	0.00013491
9.22679901	0.00033255
9.25064087	0.00083375
9.27448273	0.00114741
9.29832458	0.00192857
9.32216644	0.00213829
9.34600830	0.00171973
9.36985016	0.00085844
9.39369202	0.00036028
9.41753387	0.00047395
9.44137573	0.00020756
9.46521759	0.00040411
9.48905945	0.00042391
9.51290131	0.00032917
9.53674316	0.00038679
9.56058502	0.00052322
9.58442688	0.00063786
9.60826874	0.00074518
9.63211060	0.00325532
9.65595245	0.00527435
9.67979431	0.00361530
9.70363617	0.00182821
9.72747803	0.00067373
9.75131989	0.00058001
9.77516174	0.00039385
9.79900360	0.00033253
9.82284546	0.00036503
9.84668732	0.00058056
9.87052917	0.00056281
9.89437103	0.00046157
9.91821289	0.00049503
9.94205475	0.00026887
9.96589661	0.00842218
9.98973846	0.02372297
10.01358032	0.02219797
10.03742218	0.00648882
10.06126404	0.00055379
10.08510590	0.00079514
10.10894775	0.00042716
10.13278961	0.00035829
10.15663147	0.00026685
10.18047333	0.00041638
10.20431519	0.00037809
10.22815704	0.00029216
10.25199890	0.00048773
10.27584076	0.00082996
10.29968262	0.00144795
10.32352448	0.00142733
10.34736633	0.00078036
10.37120819	0.00072771
10.39505005	0.00066675
10.41889191	0.00045106
10.44273376	0.00028882
10.46657562	0.00054206
10.49041748	0.00036357
10.51425934	0.00026814
10.53810120	0.00019243
10.56194305	0.00035604
10.58578491	0.00068125
10.60962677	0.00122018
10.63346863	0.00346241
10.65731049	0.00521626
10.68115234	0.00323420
10.70499420	0.00152577
10.72883606	0.00061976
10.75267792	0.00049452
10.77651978	0.00050084
10.80036163	0.00058305
10.82420349	0.00054254
10.84804535	0.00034457
10.87188721	0.00045293
10.89572906	0.00028956
10.91957092	0.00020230
10.94341278	0.00088540
10.96725464	0.01233661
10.99109650	0.03181866
11.01493835	0.02807972
11.03878021	0.00787263
11.06262207	0.00058166
11.08646393	0.00030348
11.11030579	0.00026051
11.13414764	0.00032913
11.15798950	0.00049269
11.18183136	0.00073839
11.20567322	0.00047856
11.22951508	0.00046184
11.25335693	0.00065896
11.27719879	0.00066089
11.30104065	0.00049083
11.32488251	0.00094193
11.34872437	0.00121519
11.37256622	0.00089092
11.39640808	0.00071985
11.42024994	0.00050661
11.44409180	0.00030729
11.46793365	0.00040594
11.49177551	0.00029316
11.51561737	0.00029227
11.53945923	0.00023438
11.56330109	0.00028832
11.58714294	0.00069912
11.61098480	0.00110265
11.63482666	0.00294312
11.65866852	0.00436895
11.68251038	0.00242901
11.70635223	0.00077900
11.73019409	0.00032439
11.75403595	0.00046969
11.77787781	0.00074090
11.80171967	0.00076730
11.82556152	0.00044205
11.84940338	0.00006421
11.87324524	0.00024486
11.89708710	0.00020202
11.92092896	0.00028102
11.94477081	0.00168379
11.96861267	0.01463748
11.99245453	0.03478079
12.01629639	0.02897212
12.04013824	0.00759862
12.06398010	0.00075230
12.08782196	0.00034197
12.11166382	0.00022643
12.13550568	0.00022845
12.15934753	0.00034720
12.18318939	0.00059086
12.20703125	0.00043208
12.23087311	0.00049026
12.25471497	0.00062327
12.27855682	0.00057021
12.30239868	0.00050655
12.32624054	0.00179415
12.35008240	0.00243694
12.37392426	0.00128443
12.39776611	0.00088543
12.42160797	0.00068178
12.44544983	0.00050065
12.46929169	0.00032433
12.49313354	0.00023893
12.51697540	0.00031605
12.54081726	0.00030598
12.56465912	0.00042174
12.58850098	0.00066050
12.61234283	0.00087931
12.63618469	0.00243380
12.66002655	0.00325312
12.68386841	0.00146722
12.70771027	0.00018753
12.73155212	0.00046350
12.75539398	0.00016611
12.77923584	0.00035847
12.80307770	0.00047956
12.82691956	0.00033785
12.85076141	0.00029337
12.87460327	0.00036639
12.89844513	0.00028961
12.92228699	0.00042596
12.94612885	0.00209984
12.96997070	0.01454931
12.99381256	0.03234532
13.01765442	0.02531663
13.04149628	0.00590038
13.06533813	0.00060217
13.08917999	0.00026858
13.11302185	0.00039046
13.13686371	0.00043944
13.16070557	0.00065112
13.18454742	0.00065694
13.20838928	0.00048525
13.23223114	0.00015303
13.25607300	0.00017830
13.27991486	0.00062470
13.30375671	0.00137381
13.32759857	0.00294800
13.35144043	0.00348959
13.37528229	0.00164571
13.39912415	0.00112267
13.42296600	0.00064495
13.44680786	0.00025777
13.47064972	0.00040161
13.49449158	0.00055506
13.51833344	0.00066995
13.54217529	0.00069348
13.56601715	0.00038898
13.58985901	0.00066274
13.61370087	0.00096875
13.63754272	0.00106579
13.66138458	0.00119914
13.68522644	0.00073052
13.70906830	0.00060422
13.73291016	0.00055097
13.75675201	0.00053726
13.78059387	0.00053390
13.80443573	0.00051705
13.82827759	0.00036691
