Частота	A * B
(kГц)	(?)

0.00000000	3.41814200
0.02384186	1.44422800
0.04768372	0.27219150
0.07152557	0.13494840
0.09536743	0.14729520
0.11920929	0.09826840
0.14305115	0.11149370
0.16689301	0.16059400
0.19073486	0.29691670
0.21457672	0.21995660
0.23841858	0.04107890
0.26226044	0.06377643
0.28610229	0.28936230
0.30994415	0.44444940
0.33378601	0.27657030
0.35762787	0.10655430
0.38146973	0.09961471
0.40531158	0.25270710
0.42915344	0.26035910
0.45299530	0.11065710
0.47683716	0.07603344
0.50067902	0.04478994
0.52452087	0.03782352
0.54836273	0.03719506
0.57220459	0.16534200
0.59604645	0.75221640
0.61988831	0.98820080
0.64373016	0.46758060
0.66757202	0.10146150
0.69141388	0.17459170
0.71525574	0.15503600
0.73909760	0.07325568
0.76293945	0.06088743
0.78678131	0.05549937
0.81062317	0.05644982
0.83446503	0.02881302
0.85830688	0.03235726
0.88214874	0.09307725
0.90599060	0.20697390
0.92983246	0.13925700
0.95367432	0.02871599
0.97751617	0.07836202
1.00135803	0.07998338
1.02519989	0.13456900
1.04904175	0.10417540
1.07288361	0.03419796
1.09672546	0.00631982
1.12056732	0.04051194
1.14440918	0.06280085
1.16825104	0.06560625
1.19209290	0.28343570
1.21593475	0.76462380
1.23977661	0.73771820
1.26361847	0.24625530
1.28746033	0.06462062
1.31130219	0.10537940
1.33514404	0.07474978
1.35898590	0.01542483
1.38282776	0.05183752
1.40666962	0.23219490
1.43051147	0.31448670
1.45435333	0.15686590
1.47819519	0.06977633
1.50203705	0.22300760
1.52587891	0.38278240
1.54972076	0.22364980
1.57356262	0.04659711
1.59740448	0.04500134
1.62124634	0.04488734
1.64508820	0.04170469
1.66893005	0.01174077
1.69277191	0.02729243
1.71661377	0.04542553
1.74045563	0.05910446
1.76429749	0.06321320
1.78813934	0.07010610
1.81198120	0.28683510
1.83582306	0.56741730
1.85966492	0.39738360
1.88350677	0.07769758
1.90734863	0.04508254
1.93119049	0.07866057
1.95503235	0.05438316
1.97887421	0.02248811
2.00271606	0.24104780
2.02655792	0.77292540
2.05039978	0.80268410
2.07424164	0.28257990
2.09808350	0.09759107
2.12192535	0.25430150
2.14576721	0.29783350
2.16960907	0.14674590
2.19345093	0.04564472
2.21729279	0.03996584
2.24113464	0.03842236
2.26497650	0.02077466
2.28881836	0.02481236
2.31266022	0.05864727
2.33650208	0.05659068
2.36034393	0.06982101
2.38418579	0.07311500
2.40802765	0.05623454
2.43186951	0.15148260
2.45571136	0.25387540
2.47955322	0.13700670
2.50339508	0.02819726
2.52723694	0.02114401
2.55107880	0.03738755
2.57492065	0.04042340
2.59876251	0.17493100
2.62260437	1.82119800
2.64644623	4.26975600
2.67028809	3.48201400
2.69412994	0.89102970
2.71797180	0.08913637
2.74181366	0.11982980
2.76565552	0.07389098
2.78949738	0.02731836
2.81333923	0.01615428
2.83718109	0.03251164
2.86102295	0.09089322
2.88486481	0.10242060
2.90870667	0.08370580
2.93254852	0.11393500
2.95639038	0.09272975
2.98023224	0.10158010
3.00407410	0.07903152
3.02791595	0.06856927
3.05175781	0.04973201
3.07559967	0.01184190
3.09944153	0.02856711
3.12328339	0.11667160
3.14712524	0.30217760
